"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"115",2.34283791593321e-17,1.11346747288528,0.821,0.631,4.68567583186642e-14,"6","Ifi205"
"116",4.73174772132705e-16,1.36671318903845,0.783,0.546,9.4634954426541e-13,"6","Ly6a"
"117",1.3598268335422e-15,1.6059483074415,0.755,0.554,2.7196536670844e-12,"6","Slfn4"
"118",4.34650646978935e-09,0.988198339468964,0.981,0.887,8.69301293957871e-06,"6","Ccl5"
"119",1.84711000568198e-08,0.966653516233958,0.774,0.667,3.69422001136396e-05,"6","Zbp1"
"120",0.000237347186121063,1.05310377106834,0.632,0.535,0.474694372242127,"6","Ccl12"
"121",1.60801898067449e-33,5.55606418566155,1,0.71,3.21603796134897e-30,"7","S100a9"
"122",7.59693411506483e-33,5.06119731508275,1,0.854,1.51938682301297e-29,"7","S100a8"
"123",1.43687295331488e-29,1.74579716108439,1,0.806,2.87374590662976e-26,"7","Il1f9"
"124",1.60086407622022e-29,2.50859913407549,1,0.761,3.20172815244044e-26,"7","Hcar2"
"125",2.31908091337988e-23,2.39571471553001,0.98,0.866,4.63816182675977e-20,"7","Slc7a11"
"126",1.38575145452333e-21,1.7441802962321,1,0.965,2.77150290904665e-18,"7","Cxcl2"
"127",7.75562772861703e-21,1.96654171401582,0.882,0.487,1.55112554572341e-17,"7","G0s2"
"128",2.86405872840811e-20,1.93908678455393,0.98,0.955,5.72811745681623e-17,"7","Lcn2"
"129",4.29439545754265e-20,1.61444782009315,0.961,0.966,8.5887909150853e-17,"7","Wfdc21"
"130",6.80066354240513e-20,2.31088399524119,0.902,0.569,1.36013270848103e-16,"7","Cstdc4"
"131",7.53895251944479e-20,1.62778641700462,0.98,0.787,1.50779050388896e-16,"7","Sgms2"
"132",2.34440885624185e-19,1.85588133413995,0.902,0.68,4.6888177124837e-16,"7","Mirt1"
"133",6.50269686422161e-19,1.67011724365946,0.98,0.917,1.30053937284432e-15,"7","Ccl3"
"134",1.08912155623579e-18,1.58944791698734,0.863,0.434,2.17824311247157e-15,"7","Retnlg"
"135",1.41881794595169e-18,1.93026214286276,0.902,0.671,2.83763589190338e-15,"7","Stfa2l1"
"136",4.66617795618808e-16,1.55450443082813,1,0.931,9.33235591237617e-13,"7","Ccrl2"
"137",6.19418652937389e-14,1.94001029119417,0.824,0.506,1.23883730587478e-10,"7","Hdc"
"138",3.84391919650572e-13,1.67505727079101,0.804,0.426,7.68783839301143e-10,"7","Csf1"
"139",1.60921347837027e-12,1.83255948694155,0.863,0.724,3.21842695674053e-09,"7","Ifitm1"
"140",3.3192999880532e-12,1.69635350318764,0.804,0.422,6.6385999761064e-09,"7","Il1r2"
