"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",3.70515181063511e-256,4.65341383685964,0.45,0.048,1.11154554319053e-252,"0","Cxcl3"
"2",2.20515864351451e-170,4.5230462164589,0.566,0.206,6.61547593054352e-167,"0","Malat1"
"3",7.23866408092105e-159,4.1668947811303,0.52,0.197,2.17159922427631e-155,"0","Ier3"
"4",4.56132688917559e-155,4.7492568227138,0.424,0.123,1.36839806675268e-151,"0","Ptgs2"
"5",1.0080304556628e-153,4.17517584838223,0.55,0.206,3.02409136698841e-150,"0","Sgms1"
"6",1.21749964385787e-148,3.975304398548,0.368,0.088,3.6524989315736e-145,"0","Gm13986"
"7",9.05225287265464e-144,4.7333266566868,0.524,0.198,2.71567586179639e-140,"0","Cd14"
"8",2.79104867505759e-138,4.52183327056823,0.312,0.077,8.37314602517277e-135,"0","Inhba"
"9",2.17318439701215e-99,4.11351484372678,0.478,0.207,6.51955319103646e-96,"0","Ell2"
"10",1.17871073229946e-83,4.15210741423185,0.276,0.129,3.53613219689838e-80,"0","Ccdc71l"
"11",2.59073659862431e-77,4.12453846774511,0.303,0.151,7.77220979587294e-74,"0","Slc41a2"
"12",4.96785305479733e-66,5.02116038928949,0.451,0.242,1.4903559164392e-62,"0","Prdx6"
"13",2.21652630873233e-46,4.16159847946563,0.39,0.239,6.64957892619698e-43,"0","Sertad2"
"14",4.74407147386641e-45,4.29919930346148,0.351,0.222,1.42322144215992e-41,"0","Pla2g4a"
"15",2.67282648891625e-41,4.05794142304608,0.457,0.266,8.01847946674874e-38,"0","Akap13"
"16",1.00522306401479e-35,4.52407563733309,0.441,0.278,3.01566919204437e-32,"0","Iqgap2"
"17",1.87624883488626e-35,5.38857068514774,0.256,0.166,5.62874650465879e-32,"0","1600020E01Rik"
"18",2.65316899352421e-31,4.43988568684627,0.419,0.278,7.95950698057263e-28,"0","Hspa5"
"19",2.30709495849966e-27,4.13534728886695,0.261,0.206,6.92128487549898e-24,"0","Ttc7b"
"20",1.22555649826945e-06,4.39467959751381,0.353,0.414,0.00367666949480835,"0","Hsp90b1"
"21",6.51367824394024e-242,5.20296020325272,0.715,0.174,1.95410347318207e-238,"1","C1qc"
"22",1.24718097144411e-236,3.99484592603224,0.698,0.16,3.74154291433232e-233,"1","C1qa"
"23",2.56726426081632e-236,3.95295293383631,0.773,0.252,7.70179278244896e-233,"1","Ctsb"
"24",1.2657702230178e-214,5.93526117957079,0.737,0.234,3.79731066905339e-211,"1","Ctsd"
"25",4.6701201160346e-156,5.63591248524443,0.617,0.228,1.40103603481038e-152,"1","Timp2"
"26",8.35349908391142e-142,4.48964429084493,0.636,0.216,2.50604972517343e-138,"1","Ms4a7"
"27",9.87273553637987e-142,4.09045371080392,0.598,0.202,2.96182066091396e-138,"1","Selenop"
"28",5.6028399159141e-139,4.55669108781548,0.628,0.245,1.68085197477423e-135,"1","Trem2"
"29",3.77349238080536e-134,3.59667064468116,0.665,0.301,1.13204771424161e-130,"1","Itm2b"
"30",5.05702695269839e-101,3.402455317254,0.548,0.14,1.51710808580952e-97,"1","Atp6v0d2"
"31",1.28744254953644e-93,3.49278138520129,0.525,0.123,3.86232764860933e-90,"1","Igf1"
"32",3.54427112435181e-87,4.20742773087211,0.528,0.183,1.06328133730554e-83,"1","Serpinb6a"
"33",1.40659607405997e-55,5.85158623726632,0.46,0.125,4.2197882221799e-52,"1","Folr2"
"34",1.74561365262485e-49,4.27159597773598,0.458,0.176,5.23684095787455e-46,"1","Acp5"
"35",2.7961376404098e-32,4.87042978724613,0.36,0.1,8.38841292122939e-29,"1","Fcgrt"
"36",2.56866880799838e-26,4.32945852269022,0.467,0.257,7.70600642399515e-23,"1","Stab1"
"37",6.83886216072051e-26,3.69513019656593,0.38,0.157,2.05165864821615e-22,"1","Prxl2b"
"38",1.2487404689663e-20,6.90201481760774,0.357,0.063,3.74622140689891e-17,"1","Gas6"
"39",8.49373045465717e-16,4.01334934514412,0.356,0.091,2.54811913639715e-12,"1","Cela1"
"40",8.09150963478866e-06,3.57441475939949,0.348,0.133,0.024274528904366,"1","Tmem86a"
"41",2.64684765626433e-214,6.04814758719948,0.954,0.147,7.94054296879299e-211,"2","H2-Eb1"
"42",3.10904683732773e-213,5.13900941939849,0.958,0.214,9.32714051198318e-210,"2","Cd74"
"43",1.36220903549966e-212,6.21394391931665,0.949,0.177,4.08662710649898e-209,"2","H2-Ab1"
