"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.34235135079088e-130,1.33146085617778,0.886,0.685,4.68470270158177e-127,"1","Arg1"
"2",7.05712882576194e-102,1.18563980843222,0.997,0.992,1.41142576515239e-98,"1","Saa3"
"3",9.23019398743751e-102,0.981747818767766,0.989,0.959,1.8460387974875e-98,"1","Abca1"
"4",1.53308090581317e-98,1.05263405284341,0.815,0.633,3.06616181162634e-95,"1","Hilpda"
"5",2.06180972522848e-90,1.30862184563974,0.757,0.484,4.12361945045697e-87,"1","Thbs1"
"6",3.34819104505721e-88,0.989839325643279,0.922,0.805,6.69638209011442e-85,"1","Pdpn"
"7",1.57343774713971e-85,0.946958554906431,0.932,0.829,3.14687549427942e-82,"1","F13a1"
"8",3.02423349894568e-80,0.924197957263344,0.975,0.897,6.04846699789136e-77,"1","Osbpl8"
"9",1.22531714785025e-67,1.0249552626653,0.788,0.624,2.45063429570049e-64,"1","Ndrg1"
"10",1.62101409028169e-62,1.04492202010738,0.759,0.601,3.24202818056337e-59,"1","Il7r"
"11",5.57315400667379e-56,1.33830889298832,0.848,0.877,1.11463080133476e-52,"1","Inhba"
"12",6.88089493596695e-56,0.881732279327789,0.887,0.764,1.37617898719339e-52,"1","Ero1l"
"13",1.48459032211509e-55,1.13880105963111,0.808,0.613,2.96918064423018e-52,"1","Slc28a2"
"14",1.13776594627604e-54,1.05497303466599,0.776,0.65,2.27553189255208e-51,"1","Cacna1d"
"15",2.0142358019482e-23,1.00917060658191,0.641,0.558,4.02847160389639e-20,"1","Errfi1"
"16",2.15877094790008e-17,1.43917547191626,0.399,0.462,4.31754189580016e-14,"1","Hba-a1"
"17",7.92515907268462e-09,1.03255956977391,0.735,0.794,1.58503181453692e-05,"1","Cxcl1"
"18",2.34445113787982e-07,1.0827214677024,0.423,0.476,0.000468890227575965,"1","Hbb-bt"
"19",0.000133305696421485,1.33228934076022,0.42,0.334,0.266611392842969,"1","Hba-a2"
"20",0.00087059624325642,1.80724161028336,0.601,0.594,1,"1","Hbb-bs"
"21",7.1799281112518e-287,2.26311680188956,0.991,0.981,1.43598562225036e-283,"2","Hp"
"22",1.79784690641277e-222,1.40908436281374,0.997,0.973,3.59569381282555e-219,"2","Cd52"
"23",1.56349201765602e-192,2.08102006650105,0.902,0.551,3.12698403531205e-189,"2","Plac8"
"24",1.65721221500042e-173,1.51024694078754,0.979,0.918,3.31442443000084e-170,"2","Coro1a"
"25",2.99193191244534e-137,1.37664642460462,0.982,0.976,5.98386382489067e-134,"2","Il1b"
"26",2.44579451733956e-131,1.3278341121686,0.886,0.706,4.89158903467913e-128,"2","Ly6c2"
"27",3.10762683079743e-127,1.19930969627521,0.935,0.807,6.21525366159487e-124,"2","S100a4"
"28",1.06256407552829e-112,1.21570993212524,0.93,0.772,2.12512815105658e-109,"2","F10"
"29",6.65171599298159e-96,1.16319201149784,0.744,0.405,1.33034319859632e-92,"2","Lsp1"
"30",1.20815168016492e-95,1.1309920689703,0.999,0.988,2.41630336032985e-92,"2","Lyz2"
"31",5.99177881427226e-81,0.967631908741808,0.98,0.862,1.19835576285445e-77,"2","Cybb"
"32",6.5124913780819e-70,1.38949665349334,0.706,0.451,1.30249827561638e-66,"2","Chil3"
"33",2.13177073155519e-60,1.06436464086316,0.763,0.516,4.26354146311038e-57,"2","Arhgap15"
"34",2.55659536863284e-49,1.53209461930937,0.809,0.72,5.11319073726567e-46,"2","Cd74"
"35",4.7155107378429e-48,0.952913626634642,0.843,0.8,9.43102147568579e-45,"2","Tgfbi"
"36",5.63321225239236e-46,0.986228089283638,0.72,0.759,1.12664245047847e-42,"2","Ifitm6"
"37",9.78027527920404e-35,1.13454550595116,0.709,0.592,1.95605505584081e-31,"2","H2-Aa"
"38",1.61169203889965e-31,0.948279107171223,0.631,0.474,3.22338407779931e-28,"2","Napsa"
"39",1.5417502244672e-22,1.20364979374363,0.703,0.64,3.0835004489344e-19,"2","H2-Ab1"
"40",4.70527095653821e-22,1.07556644007937,0.652,0.539,9.41054191307641e-19,"2","H2-Eb1"
"41",4.81092759130286e-195,1.87944921428202,0.981,0.907,9.62185518260572e-192,"3","C1qa"
"42",1.01700991211374e-185,0.737885722699092,0.973,0.885,2.03401982422748e-182,"3","Marco"
"43",5.28135240649763e-184,1.57742948092682,0.977,0.925,1.05627048129953e-180,"3","C1qc"
"44",3.94753347724142e-182,0.861172537208021,0.919,0.848,7.89506695448285e-179,"3","Slc13a3"
"45",7.49850181458345e-180,1.34426489995563,0.993,0.937,1.49970036291669e-176,"3","Ms4a7"
"46",9.03812608380444e-170,1.11074654006217,0.937,0.765,1.80762521676089e-166,"3","Folr2"
"47",3.58006738437821e-156,1.3574054265934,0.982,0.893,7.16013476875642e-153,"3","C1qb"
"48",2.80507657563251e-147,1.1422536148657,0.971,0.903,5.61015315126502e-144,"3","Pltp"
"49",1.48594182183238e-135,1.21222158348806,0.887,0.602,2.97188364366477e-132,"3","Trem2"
"50",1.63070880694018e-134,1.3379588364609,0.973,0.717,3.26141761388035e-131,"3","Pf4"
"51",2.54290759777094e-116,0.822828918959972,0.987,0.903,5.08581519554188e-113,"3","Cd68"
"52",7.42121859642374e-112,1.09382627131622,0.995,0.962,1.48424371928475e-108,"3","Fabp5"
"53",2.32808610608152e-103,0.876602155087207,0.973,0.951,4.65617221216305e-100,"3","Acp5"
"54",6.73893843128405e-64,0.635683362491776,0.94,0.792,1.34778768625681e-60,"3","Frmd4b"
"55",3.78403033431126e-58,0.652184926150569,0.996,0.973,7.56806066862251e-55,"3","Lgals3"
"56",6.46001278964016e-55,0.651487513409371,0.937,0.854,1.29200255792803e-51,"3","Stab1"
"57",3.48451361693702e-52,0.967170888044852,0.703,0.421,6.96902723387403e-49,"3","Lpl"
"58",2.70848768824024e-50,1.8404064106604,0.698,0.458,5.41697537648048e-47,"3","Ccl8"
"59",2.90111162664706e-26,0.869197041800761,0.667,0.617,5.80222325329412e-23,"3","Igf1"
"60",7.98710668476399e-25,0.914225889710276,0.755,0.758,1.5974213369528e-21,"3","Fabp4"
"61",6.22675325945542e-72,1.57552230377088,0.959,0.595,1.24535065189108e-68,"4","H2-Aa"
"62",3.98873718330445e-64,1.19091331335713,0.993,0.923,7.9774743666089e-61,"4","Aif1"
"63",4.87617255429959e-64,1.44419683929421,0.989,0.723,9.75234510859917e-61,"4","Cd74"
"64",1.73297596722101e-63,1.30484154804886,0.945,0.538,3.46595193444201e-60,"4","H2-Eb1"
"65",8.46953234493072e-55,1.26078623952619,0.952,0.633,1.69390646898614e-51,"4","H2-Ab1"
"66",9.78331496905219e-52,1.31631947748782,0.956,0.884,1.95666299381044e-48,"4","Ccl5"
"67",2.64757720811584e-38,1.02628013294044,0.948,0.816,5.29515441623168e-35,"4","Frmd4b"
"68",1.16904152364586e-35,0.767305568065511,0.996,0.911,2.33808304729172e-32,"4","Ly6e"
"69",9.35159845792826e-34,0.879356677995166,0.996,0.956,1.87031969158565e-30,"4","Adgre1"
"70",5.3245672424966e-33,1.04539941494085,0.963,0.909,1.06491344849932e-29,"4","C1qb"
"71",6.67888254604709e-31,1.12045829517023,0.956,0.921,1.33577650920942e-27,"4","C1qa"
"72",3.87211938747889e-29,0.815392533634395,0.978,0.947,7.74423877495777e-26,"4","Ms4a7"
"73",2.74581900366428e-26,0.819134809381609,0.963,0.935,5.49163800732856e-23,"4","C1qc"
"74",1.5082760841875e-25,0.711307141281556,0.974,0.901,3.01655216837501e-22,"4","Lyn"
"75",2.28505659781077e-25,0.869648157268527,0.967,0.915,4.57011319562154e-22,"4","Pltp"
"76",1.96637047888441e-24,0.748858135903687,0.893,0.679,3.93274095776882e-21,"4","Slc8a1"
"77",1.38269702274084e-23,0.83296598718107,0.908,0.671,2.76539404548169e-20,"4","Pde7b"
"78",8.62010907972733e-16,0.768991232950445,0.871,0.788,1.72402181594547e-12,"4","Cd86"
"79",3.62992104467932e-13,0.715461352078919,0.69,0.542,7.25984208935865e-10,"4","Ly6a"
"80",1.11991433529024e-05,0.763941117000897,0.568,0.325,0.0223982867058047,"4","Spon1"
"81",9.26604403394048e-33,0.572545523435563,0.911,0.55,1.8532088067881e-29,"5","Pclaf"
"82",1.1731664206915e-18,0.506194446741503,0.793,0.639,2.346332841383e-15,"5","Etl4"
"83",1.56241019726835e-18,2.28456037640353,0.852,0.456,3.1248203945367e-15,"5","Mcpt4"
"84",1.2832234830735e-13,0.633625720310773,0.929,0.73,2.566446966147e-10,"5","Mgll"
"85",1.42389700492506e-12,0.593271538269391,0.828,0.747,2.84779400985012e-09,"5","Unc5c"
"86",1.03624467665009e-11,0.570637617751378,0.538,0.369,2.07248935330018e-08,"5","Col3a1"
"87",6.68857018563153e-11,0.509837172497607,0.959,0.823,1.33771403712631e-07,"5","Top2a"
"88",2.88425103383424e-10,0.599413741585726,0.757,0.581,5.76850206766847e-07,"5","Oca2"
"89",2.21421163784341e-09,1.05239493798512,0.722,0.502,4.42842327568682e-06,"5","Ccl8"
"90",8.58702908744469e-09,0.60409416675801,0.899,0.727,1.71740581748894e-05,"5","Car6"
"91",2.29434322131033e-08,0.511964274018009,0.769,0.619,4.58868644262065e-05,"5","Ccnb1"
"92",4.87804015760999e-07,0.640951337933017,0.249,0.435,0.000975608031521998,"5","Espn"
"93",7.16022660873727e-07,0.854851637996655,0.828,0.761,0.00143204532174745,"5","Sparc"
"94",1.04866806917837e-05,0.573889092514003,0.852,0.679,0.0209733613835673,"5","Ankfn1"
"95",1.26239345871384e-05,0.729011052541379,0.604,0.846,0.0252478691742768,"5","Ccl6"
"96",1.96846060406771e-05,0.534989757853493,0.822,0.579,0.0393692120813543,"5","Ezh2"
"97",0.000363092276806146,1.06146953769958,0.763,0.756,0.726184553612293,"5","Bc1"
"98",0.000561702742155974,0.874953029577753,0.71,0.683,1,"5","Ppargc1a"
"99",0.00815383506377614,0.964053389969118,0.503,0.483,1,"5","Lpl"
"100",0.00939141696915669,1.64024045861633,0.426,0.095,1,"5","Tpsb2"
"101",1.98414671135934e-57,3.11249162704912,0.991,0.715,3.96829342271869e-54,"6","Ifit3"
"102",2.40006541365438e-52,2.72471628667516,0.981,0.631,4.80013082730877e-49,"6","Rsad2"
"103",6.80032634490852e-46,2.46116126649001,0.991,0.719,1.3600652689817e-42,"6","Isg15"
"104",4.33394895934662e-45,1.62948639995993,0.925,0.624,8.66789791869323e-42,"6","Ifit3b"
"105",9.02232140646114e-39,2.23750064778522,0.944,0.787,1.80446428129223e-35,"6","Ifit1"
"106",1.07662264168764e-34,1.59205922900453,0.888,0.581,2.15324528337527e-31,"6","Usp18"
"107",3.35183995022755e-29,1.53989616198218,0.935,0.723,6.7036799004551e-26,"6","Ms4a4c"
"108",1.52455615137193e-28,1.34623827314966,0.935,0.619,3.04911230274386e-25,"6","Slfn5"
"109",2.85747042788158e-27,1.58312552870739,0.935,0.681,5.71494085576316e-24,"6","Pde7b"
"110",1.20731997761933e-23,1.00034297390186,0.897,0.566,2.41463995523865e-20,"6","Gbp7"
"111",6.16320117758347e-22,1.22640172598665,1,0.893,1.23264023551669e-18,"6","AW112010"
"112",1.21451909117164e-21,2.19786047848941,0.916,0.703,2.42903818234327e-18,"6","Cxcl10"
"113",2.73710343857957e-21,1.24392492815915,0.832,0.518,5.47420687715913e-18,"6","Ifi47"
"114",7.9296477079008e-21,1.19029675971044,0.897,0.747,1.58592954158016e-17,"6","Fcgr1"
"115",1.11104169614712e-20,1.15254254547833,0.953,0.755,2.22208339229425e-17,"6","Epsti1"
"116",2.03565488506243e-16,1.09479076634926,0.813,0.632,4.07130977012485e-13,"6","Ifi205"
"117",2.93895624995726e-16,1.32547964818347,0.785,0.546,5.87791249991451e-13,"6","Ly6a"
"118",2.7930651970473e-15,1.60588122324474,0.748,0.554,5.5861303940946e-12,"6","Slfn4"
"119",9.39537492918268e-10,0.983604903497906,0.981,0.887,1.87907498583654e-06,"6","Ccl5"
"120",8.36360594793502e-05,1.07053216049513,0.636,0.535,0.1672721189587,"6","Ccl12"
"121",1.60801898067449e-33,5.55606418566155,1,0.71,3.21603796134897e-30,"7","S100a9"
"122",7.59693411506483e-33,5.06119731508275,1,0.854,1.51938682301297e-29,"7","S100a8"
"123",1.43687295331488e-29,1.74579716108439,1,0.806,2.87374590662976e-26,"7","Il1f9"
"124",1.60086407622022e-29,2.50859913407549,1,0.761,3.20172815244044e-26,"7","Hcar2"
"125",2.31908091337988e-23,2.39571471553001,0.98,0.866,4.63816182675977e-20,"7","Slc7a11"
"126",1.38575145452333e-21,1.7441802962321,1,0.965,2.77150290904665e-18,"7","Cxcl2"
"127",7.75562772861703e-21,1.96654171401582,0.882,0.487,1.55112554572341e-17,"7","G0s2"
"128",2.86405872840811e-20,1.93908678455393,0.98,0.955,5.72811745681623e-17,"7","Lcn2"
"129",4.29439545754265e-20,1.61444782009315,0.961,0.966,8.5887909150853e-17,"7","Wfdc21"
"130",6.80066354240513e-20,2.31088399524119,0.902,0.569,1.36013270848103e-16,"7","Cstdc4"
"131",7.53895251944479e-20,1.62778641700462,0.98,0.787,1.50779050388896e-16,"7","Sgms2"
"132",2.34440885624185e-19,1.85588133413995,0.902,0.68,4.6888177124837e-16,"7","Mirt1"
"133",6.50269686422161e-19,1.67011724365946,0.98,0.917,1.30053937284432e-15,"7","Ccl3"
"134",1.08912155623579e-18,1.58944791698734,0.863,0.434,2.17824311247157e-15,"7","Retnlg"
"135",1.41881794595169e-18,1.93026214286276,0.902,0.671,2.83763589190338e-15,"7","Stfa2l1"
"136",4.66617795618808e-16,1.55450443082813,1,0.931,9.33235591237617e-13,"7","Ccrl2"
"137",6.19418652937389e-14,1.94001029119417,0.824,0.506,1.23883730587478e-10,"7","Hdc"
"138",3.84391919650572e-13,1.67505727079101,0.804,0.426,7.68783839301143e-10,"7","Csf1"
"139",1.60921347837027e-12,1.83255948694155,0.863,0.724,3.21842695674053e-09,"7","Ifitm1"
"140",3.3192999880532e-12,1.69635350318764,0.804,0.422,6.6385999761064e-09,"7","Il1r2"
