"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"165",0,2.09613469176349,0.875,0.139,0,"8","Ifi47"
"166",0,1.98924019797666,0.771,0.077,0,"8","Gbp6"
"167",0,1.55590693261882,0.636,0.069,0,"8","Ifit3b"
"168",3.03976688328106e-270,1.5603143265402,0.816,0.183,6.72183650899942e-266,"8","Irgm1"
"169",1.03911626975244e-268,2.35240656053889,0.956,0.327,2.29779780730358e-264,"8","Gbp7"
"170",3.55927420407101e-220,2.04194438583259,0.688,0.142,7.87062304746222e-216,"8","Ifit1"
"171",2.38470800535279e-202,1.90935439387115,0.982,0.71,5.27330481223663e-198,"8","Stat1"
"172",1.88732349357066e-177,1.53664205250588,0.839,0.275,4.1734384413328e-173,"8","Psmb9"
"173",7.4150625894632e-169,1.69028882345935,0.764,0.234,1.639692790408e-164,"8","Usp18"
"174",2.96472074403693e-168,2.04363933512442,0.99,0.71,6.55588698128887e-164,"8","Isg15"
"175",9.65464301995599e-164,1.66987622674027,0.413,0.067,2.13493121100287e-159,"8","Prph"
"176",5.0313790630183e-151,1.92434685665367,0.982,0.849,1.11258885220524e-146,"8","Psmb10"
"177",9.25810698357115e-141,1.77270555957716,0.943,0.604,2.04724519727709e-136,"8","Psmb8"
"178",1.56973039287122e-131,1.52259855645946,0.569,0.145,3.47114481775612e-127,"8","Irf8"
"179",4.83280284390552e-112,2.07532399531444,0.873,0.542,1.06867769287283e-107,"8","Rsad2"
"180",2.48861285414265e-47,1.68811530466262,0.756,0.561,5.50306960436564e-43,"8","Cxcl10"
"181",0,5.26308989806265,0.977,0.116,0,"9","H2-Eb1"
"182",0,5.17188022762715,0.977,0.151,0,"9","H2-Aa"
"183",0,3.38287202279416,0.98,0.147,0,"9","Lsp1"
"184",0,2.9631836893805,0.85,0.111,0,"9","H2-DMa"
"185",0,2.87977571446495,0.267,0.008,0,"9","Ccr7"
"186",0,2.79035537116067,0.85,0.086,0,"9","Cytip"
"187",0,2.75377836692916,0.777,0.074,0,"9","Cd83"
"188",0,2.73941840030004,0.783,0.049,0,"9","Napsa"
"189",0,2.69723678758187,0.72,0.085,0,"9","H2-DMb1"
"190",0,2.64236688778393,0.297,0.011,0,"9","Mgl2"
"191",0,2.6342238246205,0.823,0.029,0,"9","Cbfa2t3"
"192",1.22003189486951e-306,5.16073284871139,0.937,0.214,2.69785652912495e-302,"9","H2-Ab1"
"193",5.59478997965187e-268,5.31971825099696,1,0.331,1.23717590820042e-263,"9","Cd74"
"194",6.641403421428e-264,2.50155181919727,0.913,0.194,1.46861353858037e-259,"9","Coro1a"
"195",1.46889399636367e-202,2.73198276449575,0.983,0.327,3.24816529415898e-198,"9","Cd52"
"196",7.54794276330357e-171,3.24675646682856,1,0.957,1.66907658324932e-166,"9","Tmsb4x"
"197",2.06041369720099e-166,3.80929211234779,1,0.999,4.55619280862055e-162,"9","Cst3"
"198",1.86683390067567e-130,3.12202860710893,0.503,0.099,4.12812980456411e-126,"9","Ifitm1"
"199",2.9132357895084e-106,2.87890311273448,0.77,0.354,6.44203830133993e-102,"9","S100a4"
"200",1.28577739845888e-89,2.70743695793005,0.51,0.147,2.84323956121212e-85,"9","Irf8"
"201",0,5.66318126689829,0.843,0.032,0,"10","Ighm"
"202",0,4.4716387201133,0.52,0.005,0,"10","Iglc2"
"203",0,3.96744888881092,0.883,0.032,0,"10","Cd79a"
"204",0,3.69859888425701,0.734,0.006,0,"10","Bank1"
"205",0,3.30593469410315,0.859,0.072,0,"10","Ebf1"
"206",0,3.29474322353972,0.762,0.005,0,"10","Cd79b"
"207",0,3.28205431968442,0.391,0.005,0,"10","Mzb1"
"208",0,3.12709489367551,0.629,0.002,0,"10","Ly6d"
"209",0,2.81637978671849,0.399,0.002,0,"10","Gm30211"
"210",0,2.76741919861309,0.569,0.003,0,"10","Pax5"
"211",0,2.75995360303652,0.464,0.002,0,"10","Blk"
"212",0,2.73051711006742,0.54,0.01,0,"10","Gm8369"
