ID,p,log2FC,pct.1,pct.2,Pvalue
Tlr2,7.04E-06,-0.355353652,0.211,0.403,0.112668018
Cd200r1,7.30E-06,0.32084016,0.231,0.058,0.116764161
C3,7.33E-06,-0.27947655,0.245,0.439,0.11732538
Ptges,8.60E-06,-0.250656274,0.034,0.151,0.13764526
Nfe2l2,1.03E-05,-0.542179236,0.684,0.842,0.165096129
Rbpj,1.19E-05,0.435409196,0.799,0.691,0.189610577
Cxcl2,1.24E-05,-0.780618239,0.772,0.871,0.197770801
Limd2,1.27E-05,-0.300779753,0.173,0.36,0.203888659
Fyn,1.29E-05,0.441299973,0.344,0.151,0.206716628
Spop,1.36E-05,0.406818727,0.534,0.353,0.216943315
Jmjd1c,1.37E-05,0.544420319,0.718,0.525,0.218986421
Anxa5,1.38E-05,-0.323007118,0.711,0.842,0.221532527
Lpcat2,1.39E-05,-0.289632241,0.163,0.345,0.222565436
Atp6v1e1,1.42E-05,-0.353366448,0.684,0.777,0.226801764
Sdc3,1.45E-05,0.398436565,0.531,0.324,0.231270496
Mir155hg,1.45E-05,-0.294245542,0.071,0.216,0.231895892
Sdcbp,1.54E-05,0.374868485,0.864,0.727,0.24629432
Fam117b,1.61E-05,0.443836631,0.452,0.245,0.257997001
Alcam,1.63E-05,0.54207458,0.67,0.468,0.26007504
Ccr1,1.73E-05,0.322925999,0.401,0.194,0.27620099
Glipr2,1.76E-05,0.281838807,0.221,0.058,0.281921384
Clec10a,1.83E-05,0.265376635,0.163,0.022,0.292813049
Atp6v1f,1.94E-05,-0.34925905,0.684,0.842,0.309734648
Arl4c,2.00E-05,0.361491056,0.463,0.252,0.319927418
Ly6i,2.06E-05,-0.338146605,0.112,0.273,0.329404536
Bcl2,2.24E-05,0.26860298,0.207,0.05,0.358331201
Gpx4,2.33E-05,-0.452700049,0.568,0.698,0.373535654
Bach1,2.36E-05,0.476845341,0.5,0.309,0.377050871
Sash1,2.64E-05,-0.528770694,0.361,0.54,0.422764934
Nfkbia,2.69E-05,-0.427030833,0.789,0.914,0.431041413
Dtx2,3.01E-05,-0.277768119,0.102,0.252,0.48154429
Cxcl16,3.07E-05,-0.446015736,0.432,0.619,0.491714271
Zc3h12c,3.12E-05,-0.270209071,0.122,0.281,0.499106337
Mapk1ip1l,3.15E-05,0.265196142,0.286,0.108,0.504743895
Ank,3.36E-05,0.284033021,0.194,0.043,0.537267546
Atp5l,3.47E-05,-0.321177071,0.901,0.928,0.554662938
Timp1,3.49E-05,0.25139259,0.143,0.014,0.557756851
Mycbp2,3.70E-05,0.41840418,0.534,0.36,0.59162931
Svil,3.72E-05,0.430769067,0.459,0.273,0.595017455
Aif1,3.76E-05,-0.573696027,0.707,0.835,0.601833103
Clint1,3.95E-05,0.36061199,0.51,0.309,0.631550761
Vamp8,3.95E-05,-0.366485754,0.731,0.82,0.632044804
Gphn,3.97E-05,0.460896141,0.85,0.712,0.635163413
Eif5a,4.03E-05,0.303111606,0.881,0.77,0.645530554
N4bp1,4.15E-05,-0.371073024,0.395,0.59,0.664458149
Fcgr3,4.25E-05,0.296182682,0.728,0.518,0.67922023
Lncpint,4.25E-05,0.448144484,0.687,0.482,0.680060946
Pid1,4.30E-05,-0.451987079,0.844,0.906,0.687439243
Rab20,4.59E-05,-0.358265248,0.333,0.511,0.734980839
Gng5,4.74E-05,-0.271045035,0.85,0.95,0.758166946
Arf4,4.89E-05,0.431942368,0.643,0.439,0.782815395
Plcb1,4.95E-05,0.629524962,0.327,0.151,0.792110406
Baz2b,4.96E-05,0.323131152,0.656,0.46,0.793373442
Exoc6,5.29E-05,0.256921175,0.197,0.05,0.845975305
Ahcyl2,5.42E-05,0.331023643,0.327,0.144,0.866953416
Dennd1b,5.44E-05,0.286573616,0.367,0.18,0.86963015
Rhog,5.54E-05,-0.303944573,0.469,0.662,0.887023653
Diaph1,5.57E-05,0.322690812,0.694,0.518,0.890581993
Pvt1,5.74E-05,0.390432819,0.34,0.165,0.918015686
Psap,5.85E-05,0.355422244,0.983,0.942,0.936715758
H2-K1,5.93E-05,-0.321100516,0.935,0.971,0.948681594
Ptprj,6.18E-05,-0.455209889,0.779,0.878,0.988085392
Jund,6.71E-05,0.354815086,0.891,0.799,1
Atp2b1,6.85E-05,0.407082148,0.939,0.827,1
Selenop,7.02E-05,-0.328517904,0.276,0.468,1
Pdcd1lg2,7.04E-05,0.259243278,0.16,0.029,1
AA467197,7.10E-05,0.664951539,0.333,0.151,1
Actr3,7.18E-05,0.353428381,0.847,0.748,1
Lpxn,7.23E-05,0.433841901,0.558,0.36,1
Runx1,7.31E-05,0.448155304,0.769,0.612,1
Vav3,7.52E-05,0.480535136,0.673,0.525,1
Cd36,7.56E-05,0.669749129,0.265,0.101,1
Lpl,7.98E-05,0.566627766,0.276,0.108,1
Tnfrsf1b,8.23E-05,-0.321739372,0.262,0.446,1
Ptma,8.50E-05,0.271136676,0.993,1,1
Actg1,9.41E-05,0.448456633,0.993,0.993,1
Id3,9.65E-05,-0.253982099,0.095,0.237,1
Gabarap,0.00010401,-0.271509589,0.908,0.957,1
Ranbp2,0.000106994,0.341611028,0.456,0.266,1
Slc15a3,0.000110588,-0.400041837,0.66,0.741,1
Med13l,0.000111143,0.423741311,0.544,0.388,1
Kpna4,0.000123273,0.450292421,0.755,0.619,1
Clec12a,0.000125097,-0.284822877,0.286,0.46,1
Igf2r,0.000132536,-0.297440055,0.099,0.23,1
Akap13,0.000135677,0.517633933,0.622,0.482,1
Apoe,0.000139575,-0.975136248,0.84,0.892,1
Pik3r1,0.000145058,0.480105331,0.449,0.266,1
Arhgap26,0.000146137,0.463397511,0.5,0.324,1
Csf1r,0.000147733,-0.334561851,0.588,0.755,1
Acer3,0.00015256,0.328477148,0.425,0.245,1
St8sia4,0.000155139,0.389719347,0.296,0.129,1
Dip2c,0.000156243,0.354578622,0.245,0.094,1
Hspa1b,0.000160862,0.396082425,0.554,0.403,1
Tm6sf1,0.000161861,0.282775927,0.367,0.194,1
Elob,0.000166414,-0.272936973,0.823,0.878,1
Ddi2,0.000172255,0.255203681,0.323,0.151,1
Ikbke,0.000173881,-0.276455743,0.173,0.324,1
Bhlhe40,0.000179846,0.379424773,0.412,0.252,1
Inhba,0.000181789,-0.506307131,0.065,0.18,1
Braf,0.000186821,0.283204349,0.367,0.187,1
Plbd1,0.000195607,0.390472938,0.609,0.475,1
Etv6,0.000196023,0.431270427,0.782,0.691,1
S100a10,0.000198706,0.417083903,0.786,0.669,1
5031439G07Rik,0.000199593,0.303318535,0.517,0.331,1
Atp13a3,0.000200853,0.355208631,0.469,0.302,1
Gatm,0.000201036,0.251112292,0.17,0.043,1
Rnf19a,0.000214578,0.256303715,0.224,0.079,1
Maf,0.000220135,-0.4101387,0.612,0.748,1
Rps3a1,0.000239126,0.27720399,0.99,0.978,1
Mmp12,0.000240591,0.451196466,0.136,0.022,1
Kdm6a,0.000248304,0.321781918,0.456,0.281,1
Tra2b,0.000248956,0.333635674,0.697,0.561,1
Elmsan1,0.000255544,0.300286118,0.344,0.173,1
Rps20,0.000258317,-0.259950839,0.993,1,1
Bzw2,0.000259877,0.29987273,0.245,0.094,1
