"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cyba2",6.44556836881439e-45,0.276502827521005,1,0.968,1.42530853339592e-40,"6","Cyba"
"Ccnd32",1.26207941873843e-44,0.886528230328179,0.992,0.885,2.79083621865629e-40,"6","Ccnd3"
"Ppp1r12a",2.35498576582183e-44,0.544399504389776,1,0.976,5.2075800239618e-40,"6","Ppp1r12a"
"Mapre22",1.51346582237689e-43,0.731962552475942,0.992,0.739,3.34672697302201e-39,"6","Mapre2"
"Herc42",2.11066705081705e-43,0.570051508719306,0.911,0.63,4.66731804947173e-39,"6","Herc4"
"Hivep22",3.37146297472814e-43,0.646750305090694,0.994,0.869,7.45531607601633e-39,"6","Hivep2"
"Serinc32",6.69001555622708e-43,0.736545451979095,0.991,0.763,1.47936313994849e-38,"6","Serinc3"
"Susd63",2.03694185519063e-42,0.572158462165084,0.966,0.68,4.50428952438304e-38,"6","Susd6"
"Jund",3.16776994402128e-42,0.477323932174426,1,0.998,7.00488967721426e-38,"6","Jund"
"Rpl38",8.7843840585762e-42,0.301508650195355,1,1,1.94249084687296e-37,"6","Rpl38"
"Cd532",1.52409809411472e-41,0.489478161632224,0.403,0.186,3.37023811551588e-37,"6","Cd53"
"1810026B05Rik1",8.79954788932047e-41,0.57633889845513,0.953,0.687,1.94584402476544e-36,"6","1810026B05Rik"
"Ncoa2",2.84886052653246e-40,0.728687443235532,0.995,0.823,6.29968528232122e-36,"6","Ncoa2"
"Diaph12",3.04459266632101e-40,0.484180233920122,0.995,0.717,6.73250776303565e-36,"6","Diaph1"
"Cdk17",5.44828543353337e-40,0.627922331937923,0.969,0.724,1.20477935791723e-35,"6","Cdk17"
"Txnip1",9.08491113061487e-40,0.472471273898342,0.911,0.617,2.00894639831287e-35,"6","Txnip"
"Grk22",1.39451099131304e-39,0.539993723373449,0.838,0.585,3.08368215509052e-35,"6","Grk2"
"Elf11",3.50487757323972e-39,0.671967744333251,0.997,0.82,7.750335777705e-35,"6","Elf1"
"Stat33",6.40382109226116e-39,0.690970780456548,1,0.87,1.41607695813171e-34,"6","Stat3"
"Usp34",6.64053565534763e-39,0.573948863872227,0.864,0.598,1.46842164946702e-34,"6","Usp3"
"Cd82",8.84983126739141e-39,1.00415300042605,0.325,0.175,1.95696318815826e-34,"6","Cd82"
"Stat11",5.97014661908572e-38,0.607471699027781,0.98,0.707,1.32017852187843e-33,"6","Stat1"
"Saraf",9.65731472667291e-38,0.650156058514232,0.997,0.924,2.13552200550918e-33,"6","Saraf"
"Itpr21",2.22324286890937e-37,0.496339066648323,0.925,0.661,4.9162569560193e-33,"6","Itpr2"
"Hip11",3.89221173900683e-37,0.866398083449111,0.989,0.783,8.60684781846581e-33,"6","Hip1"
"Morrbid3",4.60110471375202e-37,0.321916585411524,0.96,0.625,1.01744228535198e-32,"6","Morrbid"
"Dgat11",5.35323084946646e-37,0.627514291099459,0.806,0.555,1.18375993774252e-32,"6","Dgat1"
"Pde7a",9.39056167733148e-37,0.917859684214119,0.982,0.797,2.07653490370831e-32,"6","Pde7a"
"Atxn7l12",1.39484173704065e-36,0.534604863207486,0.973,0.699,3.08441353311799e-32,"6","Atxn7l1"
"Clic13",1.63652445248439e-36,0.506260102341245,1,0.991,3.61884652177872e-32,"6","Clic1"
"Sipa1l12",1.80621723238805e-36,0.640700683394372,0.98,0.72,3.99408816597969e-32,"6","Sipa1l1"
"Myo1f2",2.49909108624471e-36,0.649910081601126,0.261,0.111,5.52624011901293e-32,"6","Myo1f"
"Ikzf2",3.29184655179381e-36,2.09342910438358,0.337,0.201,7.27926027998164e-32,"6","Ikzf2"
"Pip4k2a1",6.70121939652636e-36,0.530492444115574,0.971,0.704,1.48184064515387e-31,"6","Pip4k2a"
"Coq10b1",7.94071506286809e-36,0.517727301393154,0.916,0.639,1.75593032185202e-31,"6","Coq10b"
"Ssh2",8.46249440714515e-36,0.788131111095014,0.988,0.801,1.87131138825201e-31,"6","Ssh2"
