"","C_p_val","C_avg_log2FC","C_pct.1","C_pct.2","C_p_val_adj","T_p_val","T_avg_log2FC","T_pct.1","T_pct.2","T_p_val_adj","max_pval","minimump_p_val"
"Mrc1",0,2.89774929156692,0.524,0.056,0,0,1.61956430259131,0.305,0.012,0,0,0
"Ptgds",0,-1.94254296631707,1,0.999,0,0,-1.56429955816118,1,1,0,0,0
"Rpl7a",0,-0.465240419265858,1,1,0,4.64836789712134e-201,-0.384177368629396,1,1,1.02789359309044e-196,4.64836789712134e-201,0
"Set",0,-0.790343901424782,1,1,0,0,-0.74078133726442,1,1,0,0,0
"Swi5",0,-0.616113670310339,1,1,0,3.63930137121965e-276,-0.537897456188526,1,1,8.047587122178e-272,3.63930137121965e-276,0
"Rpl12",0,-0.910958430505479,1,1,0,0,-0.780692385547824,1,1,0,0,0
"Dennd1a",0,2.08845870972762,0.997,0.753,0,0,1.840508069588,0.991,0.733,0,0,0
"Zeb2",0,1.93957456981674,1,0.996,0,0,1.90763665309861,1,0.995,0,0,0
"Rbms1",0,1.27883828232125,0.999,0.924,0,2.12105384034064e-203,0.832054889280478,0.995,0.921,4.69028635714525e-199,2.12105384034064e-203,0
"Tank",0,1.34070129038775,0.989,0.729,0,0,1.7902770154225,0.989,0.722,0,0,0
"Ssb",0,-0.591583636854701,1,1,0,2.52016976985913e-263,-0.556170611114419,1,1,5.5728514120895e-259,2.52016976985913e-263,0
"Atp5g3",0,-0.808384135864763,1,1,0,0,-0.679231624096639,1,1,0,0,0
"Pde11a",0,-1.08846044884735,0.995,0.977,0,2.70527502938658e-196,-0.868840924131367,0.995,0.973,5.98217467248254e-192,2.70527502938658e-196,0
"Nckap1",0,-0.835080558492257,0.998,0.997,0,6.04665535609611e-302,-0.726292173401676,0.997,0.996,1.33709689889353e-297,6.04665535609611e-302,0
"Selenoh",0,-1.04058397076632,0.999,0.994,0,8.17088188164411e-275,-0.863385068818717,0.999,0.998,1.80682711048796e-270,8.17088188164411e-275,0
"Ndufs3",0,-0.576728856234809,1,0.998,0,4.19646969077833e-203,-0.484549451159736,0.998,0.999,9.27965342721812e-199,4.19646969077833e-203,0
"Spi1",0,1.7147844438529,0.685,0.113,0,0,1.75124211638351,0.709,0.107,0,0,0
"Cd44",0,1.27210247539013,1,0.996,0,5.1411521603934e-171,1.01483572028776,1,0.995,1.13686297722779e-166,5.1411521603934e-171,0
"Lmo2",0,0.787863612297553,0.254,0.028,0,2.21865656677237e-259,0.553357067938925,0.167,0.013,4.90611526610374e-255,2.21865656677237e-259,0
"Meis2",0,-1.02053138407046,0.995,0.99,0,1.86872019333753e-290,-0.839030029247678,0.997,0.991,4.13230096352728e-286,1.86872019333753e-290,0
"Thbs1",0,2.15763863654788,0.502,0.132,0,7.35904387000056e-143,1.20253280101307,0.28,0.081,1.62730537097322e-138,7.35904387000056e-143,0
"Ehd4",0,1.07929176764155,0.929,0.601,0,6.88276478363113e-93,0.676179286703888,0.794,0.599,1.52198577660435e-88,6.88276478363113e-93,0
"B2m",0,1.1040641700726,1,0.999,0,0,0.859834390892749,1,1,0,0,0
"Slc28a2",0,2.04510932008016,0.362,0.027,0,0,1.86278288256389,0.328,0.018,0,0,0
"Slc24a5",0,-1.15536825516068,0.998,0.987,0,0,-0.952333836592277,0.999,0.996,0,0,0
"Atp8b4",0,1.27007138312303,0.43,0.064,0,0,1.09806610712684,0.349,0.045,0,0,0
"Sirpa",0,1.55723514590071,0.998,0.767,0,0,1.62698378822986,0.997,0.778,0,0,0
"Plcb1",0,1.88852572487423,0.424,0.049,0,1.85109468175967e-217,0.930787154423828,0.211,0.031,4.09332566977515e-213,1.85109468175967e-217,0
"Snx5",0,1.06124048598995,0.999,0.939,0,4.26081323303066e-97,0.647250396791142,0.993,0.93,9.4219363022007e-93,4.26081323303066e-97,0
"Cd93",0,1.05025642405359,0.337,0.04,0,0,1.07021092844451,0.353,0.032,0,0,0
"Cst3",0,0.681516177874337,1,0.999,0,0,0.860654292965505,1,0.999,0,0,0
"Eif2s2",0,-0.648342932170823,1,1,0,5.19350404524284e-267,-0.584342496417557,1,1,1.14843954952455e-262,5.19350404524284e-267,0
"Samhd1",0,1.03273262806236,0.791,0.491,0,1.45268779502567e-64,0.829674028491372,0.547,0.462,3.21232852114027e-60,1.45268779502567e-64,0
"Tgm2",0,1.4919508956026,0.469,0.081,0,0,1.59697924984209,0.498,0.052,0,0,0
"Mafb",0,3.39574112320216,0.829,0.071,0,0,3.04104470487417,0.765,0.047,0,0,0
"Ctsa",0,0.897805061849163,0.999,0.91,0,5.23240953006594e-264,1.03540406679484,0.997,0.896,1.15704271938348e-259,5.23240953006594e-264,0
"Cebpb",0,1.57856816436462,0.948,0.373,0,0,1.43225303633019,0.684,0.254,0,0,0
"Gnas",0,-0.820884800495185,1,1,0,0,-0.683274316725963,1,1,0,0,0
"Tpd52",0,1.07338017273437,0.999,0.961,0,3.92573201003806e-274,1.10569779248975,0.998,0.935,8.68097119379717e-270,3.92573201003806e-274,0
"Rpl22l1",0,-0.644092068775818,1,0.999,0,9.57730746836729e-264,-0.573848694302992,1,0.999,2.11783000048006e-259,9.57730746836729e-264,0
"Ndufb5",0,-0.757351712689743,1,1,0,0,-0.618007619510228,1,1,0,0,0
"Tm4sf1",0,-0.890392088978691,0.99,0.969,0,2.90934384724224e-218,-0.698889522356662,0.993,0.971,6.43343204940676e-214,2.90934384724224e-218,0
"Fnip2",0,1.27234749194301,0.999,0.838,0,5.79549281529169e-257,1.30987203540091,0.993,0.799,1.28155732624545e-252,5.79549281529169e-257,0
"Rps3a1",0,-0.681786946478481,1,1,0,0,-0.577231248938284,1,1,0,0,0
"Fdps",0,-1.0185020248215,0.998,0.984,0,1.01554933148328e-250,-0.861198612029738,0.998,0.991,2.24568423670897e-246,1.01554933148328e-250,0
"S100a4",0,2.27573816555462,0.851,0.353,0,3.17612890354973e-286,2.13879301969899,0.583,0.248,7.02337384441951e-282,3.17612890354973e-286,0
"S100a6",0,1.34216570977774,0.995,0.48,0,0,1.24088248886073,0.989,0.459,0,0,0
"S100a10",0,1.26410740605745,1,0.963,0,3.14559834813648e-160,0.799043381342103,0.999,0.959,6.95586162723421e-156,3.14559834813648e-160,0
"Tnfaip8l2",0,0.803052282897088,0.257,0.03,0,0,0.860775153894771,0.289,0.022,0,0,0
"Ctss",0,3.73234855262493,0.998,0.326,0,0,4.09278975662883,0.942,0.143,0,0,0
"Mcl1",0,1.45630523290259,1,0.96,0,0,1.2549843590552,0.999,0.954,0,0,0
"Car14",0,-0.742775070796249,0.993,0.972,0,9.11324328382513e-263,-0.647440776571509,0.999,0.982,2.01521148735225e-258,9.11324328382513e-263,0
"Fcgr1",0,2.11258838957269,0.586,0.032,0,0,1.7658099134219,0.505,0.016,0,0,0
"Atp1a1",0,-0.847344480312398,1,1,0,0,-0.674759479007412,1,1,0,0,0
"Atp5f1",0,-0.702188541269171,1,1,0,0,-0.603662510577797,1,1,0,0,0
"Chil3",0,1.55326520087303,0.237,0.021,0,3.28812085556044e-216,0.827137237860226,0.144,0.012,7.27102164790079e-212,3.28812085556044e-216,0
"Cd53",0,1.60395483482326,0.746,0.148,0,0,1.39370195287423,0.593,0.083,0,0,0
"Sars",0,-0.607961531493368,1,0.999,0,3.35534104988298e-150,-0.512613985499906,0.999,0.998,7.41966566360624e-146,3.35534104988298e-150,0
"Vav3",0,2.24320251386076,0.766,0.132,0,0,1.93476889018409,0.649,0.11,0,0,0
"Mcub",0,1.08196668038862,0.371,0.067,0,2.7306207916332e-258,0.803024047978978,0.268,0.044,6.0382217565385e-254,2.7306207916332e-258,0
"Lyn",0,1.89567656918372,0.802,0.272,0,0,2.01089267970941,0.754,0.207,0,0,0
"4930430E12Rik",0,1.6344868774862,0.462,0.06,0,0,1.18890281159562,0.357,0.045,0,0,0
"Sdcbp",0,0.938875708309062,1,0.992,0,5.7957000651931e-136,0.668373796088062,0.999,0.992,1.28160315541615e-131,5.7957000651931e-136,0
"Chd7",0,1.20611088463774,0.565,0.24,0,3.03434295983264e-182,1.16458261216326,0.466,0.192,6.70984258707791e-178,3.03434295983264e-182,0
"Abca1",0,1.99828434090373,0.5,0.124,0,0,2.71067370201203,0.669,0.133,0,0,0
"Klf4",0,1.23728373647495,0.975,0.634,0,8.92000164450025e-186,0.974307627240561,0.942,0.605,1.97247996364834e-181,8.92000164450025e-186,0
"Pakap.1",0,-1.04005050382654,0.996,0.989,0,1.3734023216794e-197,-0.764473985343681,0.999,0.98,3.03700455392966e-193,1.3734023216794e-197,0
"Tyrp1",0,-1.42889592027225,1,0.999,0,0,-1.13185343284285,1,1,0,0,0
"Plin2",0,2.04985842812744,1,0.891,0,0,1.77148318427986,0.999,0.904,0,0,0
"Rps6",0,-0.476329615407231,1,1,0,9.56185148296914e-206,-0.396371114109786,1,1,2.11441221842896e-201,9.56185148296914e-206,0
"Pde4b",0,0.997380518737434,0.918,0.56,0,1.46303022323534e-191,1.14203418214668,0.81,0.522,3.23519873264032e-187,1.46303022323534e-191,0
"Uqcrh",0,-0.703944521708229,1,1,0,2.63415674971718e-239,-0.508242354240397,1,1,5.8249108206496e-235,2.63415674971718e-239,0
"Ybx1",0,-0.50937518933032,1,1,0,1.44414018603194e-276,-0.503094098835786,1,1,3.19342719337243e-272,1.44414018603194e-276,0
"Rnf19b",0,1.43104403613585,0.78,0.429,0,1.70819472854843e-123,1.14701748558057,0.499,0.297,3.77733100323913e-119,1.70819472854843e-123,0
"Sdc3",0,1.46339905477689,0.472,0.112,0,0,1.32175006095034,0.432,0.076,0,0,0
"Laptm5",0,2.05588246707075,0.811,0.182,0,0,2.17582484695904,0.782,0.108,0,0,0
"Cd52",0,1.94534317104301,0.945,0.257,0,0,2.04693470646839,0.885,0.228,0,0,0
"Sh3bgrl3",0,1.50966224310349,1,0.943,0,0,1.65968225165719,0.999,0.953,0,0,0
"Clic4",0,1.37235932463524,0.999,0.899,0,1.27602837999343e-197,1.0667453062066,0.995,0.886,2.82168155667948e-193,1.27602837999343e-197,0
"C1qb",0,3.85385206285231,0.559,0.114,0,0,4.06869103731692,0.609,0.088,0,0,0
"C1qc",0,2.82271094834904,0.445,0.073,0,0,2.98315846392322,0.524,0.045,0,0,0
"C1qa",0,3.45711855787953,0.44,0.119,0,0,3.783453862538,0.519,0.081,0,0,0
"Cdc42",0,0.62716901898075,1,0.999,0,7.90000825244065e-160,0.557638112703963,1,0.998,1.7469288248622e-155,7.90000825244065e-160,0
"Micos10",0,-0.508169681560899,1,1,0,3.2547000601076e-205,-0.450434794705426,1,1,7.19711824291593e-201,3.2547000601076e-205,0
"Sdhb",0,-0.785910025042891,1,0.998,0,8.33834873798474e-272,-0.641528362458679,1,1,1.84385905643056e-267,8.33834873798474e-272,0
"Efhd2",0,1.27898780370758,0.987,0.641,0,0,1.21562625549697,0.972,0.631,0,0,0
"Dhrs3",0,1.48334183269099,0.496,0.139,0,0,1.22390750832606,0.395,0.068,0,0,0
"Eno1",0,-0.777454275385567,1,1,0,0,-0.702926087380861,1,1,0,0,0
"Park7",0,-0.608201531775582,1,1,0,5.02083713305859e-264,-0.51001284657162,1,1,1.11025771523325e-259,5.02083713305859e-264,0
"Cdk6",0,1.45860802918445,0.676,0.388,0,5.1925280963562e-63,0.942502489974534,0.419,0.294,1.14822373794725e-58,5.1925280963562e-63,0
"Cdk14",0,1.2344744885923,0.774,0.49,0,6.82481840154459e-93,1.00062763583543,0.638,0.504,1.50917209313355e-88,6.82481840154459e-93,0
"Cd36",0,3.04702102471991,0.532,0.058,0,0,1.87227412025264,0.273,0.027,0,0,0
"AI506816",0,-0.664870956149675,0.996,0.981,0,1.8072140624207e-264,-0.659552803352981,0.999,0.991,3.9962924562309e-260,1.8072140624207e-264,0
"Mrfap1",0,-0.611806524417177,1,0.999,0,4.15352662721968e-297,-0.56770218932061,1,1,9.18469343077088e-293,4.15352662721968e-297,0
"Fbxl5",0,1.5521582118995,0.934,0.607,0,4.81903952184698e-50,0.922684471815048,0.634,0.546,1.06563420946602e-45,4.81903952184698e-50,0
"Bst1",0,0.776467982023359,0.24,0.029,0,8.97088950353995e-253,0.59695247301941,0.219,0.026,1.98373279591779e-248,8.97088950353995e-253,0
"Ppargc1a",0,-1.2857916153357,0.999,0.979,0,3.33937399107424e-200,-1.0605989613482,0.999,0.984,7.38435770646248e-196,3.33937399107424e-200,0
"Rbpj",0,1.57434158767901,0.998,0.727,0,0,1.34030956891116,0.985,0.684,0,0,0
"Rpl9",0,-0.469292679399064,1,1,0,1.1614439145059e-164,-0.319039893281433,1,1,2.5683009281469e-160,1.1614439145059e-164,0
"Rbm47",0,2.30925310944041,0.716,0.079,0,0,2.23677602782174,0.674,0.057,0,0,0
