"","C_p_val","C_avg_log2FC","C_pct.1","C_pct.2","C_p_val_adj","T_p_val","T_avg_log2FC","T_pct.1","T_pct.2","T_p_val_adj","max_pval","minimump_p_val"
"Ndufs6",2.08381687088094e-306,-0.512440036326363,1,0.999,4.60794424657901e-302,6.32894413244465e-194,-0.436074182475273,1,1,1.39951941600748e-189,6.32894413244465e-194,4.16763374176147e-306
"Hp",2.72197804943173e-70,0.526364620739327,0.135,0.044,6.01911006070839e-66,2.38766715392483e-306,1.59892414352644,0.395,0.082,5.27984837747397e-302,2.72197804943173e-70,4.77533430784965e-306
"Smarcc1",2.22697516719372e-305,-0.556069972533584,0.996,0.982,4.92451018721548e-301,3.06684670107068e-173,-0.494387188567349,0.995,0.983,6.7817181100776e-169,3.06684670107068e-173,4.45395033438697e-305
"Rexo2",2.35711855313696e-305,-0.625199165877355,0.998,0.994,5.21229625655176e-301,1.86485925856429e-182,-0.493961011589764,1,0.998,4.12376327846321e-178,1.86485925856429e-182,4.71423710627385e-305
"Lpp",2.53477205206293e-305,0.879141886397373,0.999,0.921,5.60514143872676e-301,2.50391234376924e-82,0.535955229716549,0.992,0.897,5.53690136577692e-78,2.50391234376924e-82,5.06954410412584e-305
"Polr1d",4.91332865978118e-305,-0.463647817761244,1,0.999,1.08648436653741e-300,1.06006312724415e-163,-0.397483852825547,0.999,0.999,2.34411759327499e-159,1.06006312724415e-163,9.82665731956185e-305
"Pcbp1",8.30412243635771e-305,-0.495471376056902,1,1,1.83629059435178e-300,1.82321376574724e-181,-0.422199283092701,1,1,4.03167260019687e-177,1.82321376574724e-181,1.66082448727144e-304
"Gm6377",1.81289422295598e-259,0.571970278345488,0.141,0.009,4.00885299522256e-255,2.75608094055332e-304,0.552368838581755,0.143,0.006,6.09452178384556e-300,1.81289422295598e-259,5.51216188110632e-304
"Ndufc1",9.89640621864578e-304,-0.546843280095427,1,0.999,2.18839230712914e-299,1.8265591987204e-171,-0.410846347491661,1,1,4.03907035613042e-167,1.8265591987204e-171,1.97928124372901e-303
"Higd1a",1.57758322897354e-303,-1.02846952079593,1,1,3.48850979422919e-299,3.59640168028395e-157,-0.80822282256605,1,1,7.95272303561191e-153,3.59640168028395e-157,3.155166457947e-303
"Tgfb1",4.37092876929728e-303,0.88239506287419,0.849,0.544,9.66543478754708e-299,1.04183116183661e-204,0.849357338186962,0.938,0.624,2.3038012481693e-200,1.04183116183661e-204,8.74185753859449e-303
"Scd2",6.49449595652721e-303,-0.706037527985467,0.997,0.988,1.43612789086686e-298,7.86805488391515e-156,-0.553676339089867,0.999,0.99,1.73986297648016e-151,7.86805488391515e-156,1.29889919130543e-302
"Hacd1",6.7233554638218e-303,-0.569031813229909,0.977,0.923,1.48673559371492e-298,2.5548784189214e-158,-0.499495727951401,0.976,0.899,5.6496026477609e-154,2.5548784189214e-158,1.34467109276435e-302
"Psma3",1.33998392888545e-302,-0.493519957421772,1,1,2.96310646194439e-298,3.81942472316852e-211,-0.459464976867132,1,1,8.44589389034255e-207,3.81942472316852e-211,2.67996785777084e-302
"Cd300a",1.45777307394288e-301,0.795903047772067,0.283,0.05,3.2235735984099e-297,8.78083179959618e-218,0.654734484189166,0.225,0.034,1.9417053358447e-213,8.78083179959618e-218,2.91554614788552e-301
"Pik3r6",4.72591938548478e-301,0.674768483193924,0.171,0.013,1.04504255371225e-296,5.56253183892184e-165,0.449184091184633,0.109,0.009,1.23004266554079e-160,5.56253183892184e-165,9.45183877096947e-301
"Eif3m",4.81274867175933e-301,-0.473948106830212,1,0.998,1.06424311378614e-296,2.95860384916216e-185,-0.431332129285893,0.999,0.998,6.54236069165228e-181,2.95860384916216e-185,9.62549734351759e-301
"Atp5j2",7.4689713547134e-301,-0.497205926518197,1,1,1.65161363566777e-296,3.22710003113692e-176,-0.38017546491828,1,1,7.13608629885308e-172,3.22710003113692e-176,1.49379427094263e-300
"Hddc2",1.08323000964162e-300,-0.549411477645346,0.982,0.936,2.39534652032052e-296,5.8999679721293e-148,-0.459181988464531,0.988,0.941,1.30465991767695e-143,5.8999679721293e-148,2.16646001928308e-300
"Man1a",1.3880194997572e-300,1.35138713735644,0.646,0.372,3.0693275198131e-296,3.28737459693089e-105,1.4180929426333,0.466,0.293,7.26937144619328e-101,3.28737459693089e-105,2.7760389995144e-300
"Rps27a",1.89026019868959e-300,-0.45584581751649,1,1,4.1799323773623e-296,4.24636761683648e-249,-0.44368349162512,1,1,9.38999271111051e-245,4.24636761683648e-249,3.78052039737909e-300
"Hspa4",6.92397510952433e-300,-0.502208840714766,0.999,0.999,1.53109861596912e-295,1.13152715919299e-191,-0.465153512443035,1,0.999,2.50214600712347e-187,1.13152715919299e-191,1.38479502190483e-299
"Tsn",4.52739816925243e-299,-0.514878097690427,0.999,0.994,1.00114355716679e-294,5.91020166757321e-163,-0.432144429628064,0.999,0.995,1.30692289475046e-158,5.91020166757321e-163,9.05479633850445e-299
"Gm34084",4.52974707747548e-227,0.609461671148046,0.178,0.024,1.00166297124215e-222,6.19307610163779e-299,0.751577423636525,0.23,0.024,1.36947491835516e-294,4.52974707747548e-227,1.23861522032756e-298
"Ptafr",2.06361612303849e-294,0.712925799911675,0.336,0.072,4.56327433287502e-290,9.85725079251844e-299,0.802502099708744,0.326,0.052,2.1797338677496e-294,2.06361612303849e-294,1.97145015850354e-298
"Fam162a",1.36241356761919e-298,-0.907265527390904,1,1,3.01270512207631e-294,5.36157066903783e-143,-0.757192723758133,1,0.999,1.18560412204433e-138,5.36157066903783e-143,2.72482713523837e-298
"Gstm5",1.61340581741497e-298,-0.57493437223362,0.986,0.953,3.56772428404972e-294,2.22782609563047e-173,-0.523909114325631,0.989,0.966,4.92639184526766e-169,2.22782609563047e-173,3.22681163482969e-298
"Apba1",1.66502567618693e-298,0.898801279038691,0.238,0.036,3.68187127775217e-294,2.29987232211686e-217,0.668797038118408,0.174,0.02,5.08570766589702e-213,2.29987232211686e-217,3.33005135237363e-298
"U2af1",2.60702021551805e-298,-0.558437719367021,0.999,0.998,5.76490380257506e-294,2.33647986007984e-230,-0.573463339023085,0.999,0.999,5.16665791459454e-226,2.33647986007984e-230,5.21404043103604e-298
"Ago2",4.50419642966442e-298,-0.683466508635692,1,0.997,9.96012956491692e-294,1.50961848603556e-146,-0.499830653763771,1,0.996,3.33821935817044e-142,1.50961848603556e-146,9.00839285932805e-298
"Cd274",4.60601920483736e-298,1.09845123963138,0.672,0.367,1.01852902676569e-293,1.53368602075453e-177,1.11773883340067,0.548,0.268,3.39143989769449e-173,1.53368602075453e-177,9.2120384096737e-298
"Snx20",2.5930760873419e-208,0.53825990678083,0.302,0.079,5.73406915193915e-204,6.82699336900499e-298,0.796257285978606,0.339,0.057,1.50965304368807e-293,2.5930760873419e-208,1.36539867380096e-297
"Txnl4a",1.0774900028289e-297,-0.527223672205233,0.993,0.985,2.38265364325556e-293,8.50001324967793e-197,-0.51169110558914,0.995,0.99,1.87960792990128e-192,8.50001324967793e-197,2.1549800056577e-297
"Hnrnpab",1.12131049439706e-297,-0.621582618968485,1,0.999,2.47955389626021e-293,3.81216683081634e-206,-0.563026550103059,1,1,8.42984451298417e-202,3.81216683081634e-206,2.24262098879388e-297
"Ppp1r14b",1.33827146837624e-297,-0.605280520892693,1,0.998,2.95931969802038e-293,1.28729838708906e-192,-0.50706598457555,0.999,1,2.84660292337004e-188,1.28729838708906e-192,2.67654293675234e-297
"Rac2",9.41389301753095e-276,0.662550621514866,0.355,0.086,2.08169416296662e-271,1.35050939034176e-297,0.871395156059032,0.501,0.123,2.98638141486274e-293,9.41389301753095e-276,2.70101878068326e-297
"Mrps25",5.49231699430004e-297,-0.593378547766977,0.997,0.984,1.21451605694957e-292,2.35431506004461e-204,-0.546230971163202,0.999,0.991,5.20609689227665e-200,2.35431506004461e-204,1.09846339885992e-296
"Tbca",5.72093307392442e-297,-0.453623852671829,1,1,1.26506993063691e-292,2.42207473691732e-160,-0.376976955782542,1,1,5.35593386574526e-156,2.42207473691732e-160,1.14418661478486e-296
"Mapre2",6.42514972862131e-297,1.00505032712605,0.985,0.728,1.42079335949003e-292,6.32808865889168e-121,0.737077717244575,0.957,0.691,1.39933024514072e-116,6.32808865889168e-121,1.28502994572415e-296
"Uqcr11",1.26671478965415e-296,-0.524291674303318,1,1,2.80108641436222e-292,1.37443307907934e-210,-0.448975633369057,1,1,3.03928386776815e-206,1.37443307907934e-210,2.53342957930827e-296
"Smim3",3.53692352698205e-296,0.9545676232717,0.33,0.074,7.8211989952154e-292,1.17859990556329e-185,0.619321213409143,0.211,0.035,2.6062379711721e-181,1.17859990556329e-185,7.07384705396401e-296
"Hnrnpa1",5.14810321050769e-296,-0.60363331057885,1,0.994,1.13840006293957e-291,2.13449140949917e-186,-0.547209773427249,0.999,0.995,4.72000085382551e-182,2.13449140949917e-186,1.02962064210144e-295
"Coa3",1.72611692643574e-295,-0.555738757499037,0.998,0.993,3.81696235942736e-291,4.69520252122528e-174,-0.457734047198942,1,0.997,1.03825013351855e-169,4.69520252122528e-174,3.45223385287114e-295
"Ier3",2.12974190814402e-295,0.893623485507875,0.998,0.858,4.70949828147886e-291,7.17546483151629e-266,1.20458284153972,0.997,0.791,1.5867105381932e-261,7.17546483151629e-266,4.25948381628762e-295
"Ndufa8",2.16563774063608e-295,-0.492746186537528,0.999,0.998,4.78887473586856e-291,5.22028102209615e-166,-0.41903550374838,1,0.997,1.15436074241612e-161,5.22028102209615e-166,4.33127548127174e-295
"Zswim6",6.06593293264279e-295,0.964790594628725,0.994,0.784,1.3413597493953e-290,1.13995623018125e-176,1.02023956104177,0.988,0.756,2.5207852117998e-172,1.13995623018125e-176,1.21318658652851e-294
"Suclg2",6.52462005042114e-295,-0.538173592671279,0.993,0.973,1.44278923174963e-290,2.55430608648873e-231,-0.547812969785588,0.993,0.976,5.64833704905252e-227,2.55430608648873e-231,1.30492401008411e-294
"Rps27l",1.79069900109316e-294,-0.546326299971749,1,1,3.9597727011173e-290,9.16469275038312e-230,-0.518535677980621,1,1,2.02658850789222e-225,9.16469275038312e-230,3.58139800218631e-294
"Pnp",2.05653702475847e-294,0.956363383953424,0.822,0.542,4.5476203228484e-290,3.15422823662201e-116,0.776032101746166,0.734,0.553,6.97494489964226e-112,3.15422823662201e-116,4.11307404951679e-294
"Tlr2",4.429065821008e-88,0.473484876804155,0.169,0.057,9.793993249995e-84,4.02793354516949e-294,0.895332519328482,0.292,0.046,8.90696944843329e-290,4.429065821008e-88,8.05586709033841e-294
"Gm46224",5.84787966746599e-294,0.874140835562661,0.236,0.034,1.29314163086675e-289,1.20160422124012e-153,0.655362323826504,0.19,0.034,2.65710741442829e-149,1.20160422124012e-153,1.16957593349313e-293
"Etfb",8.55880765055737e-294,-0.534841530729964,1,0.998,1.89260913576775e-289,9.60303678352409e-258,-0.550165611889233,1,1,2.12351952394068e-253,9.60303678352409e-258,1.71176153011131e-293
"Casp4",2.60685170749188e-293,1.20403032768955,0.452,0.163,5.76453118077679e-289,1.85691584412238e-108,0.96578064709839,0.387,0.186,4.10619800610781e-104,1.85691584412238e-108,5.21370341498342e-293
"Dclk1",2.96777837115576e-293,-0.824273136269554,0.989,0.952,6.56264831213674e-289,9.33237072977255e-147,-0.629339085206118,0.99,0.945,2.0636671394746e-142,9.33237072977255e-147,5.93555674231114e-293
"Vgll4",6.0054551922305e-293,-0.611398491323068,0.995,0.979,1.32798630665793e-288,8.73001915888828e-185,-0.573474824200204,0.996,0.985,1.93046913660497e-180,8.73001915888828e-185,1.20109103844605e-292
"Il1rn",6.59974155760051e-237,0.598992358418669,0.384,0.116,1.4594008506322e-232,9.24814246000339e-293,1.19171383708145,0.488,0.128,2.04504174218055e-288,6.59974155760051e-237,1.84962849200059e-292
"Pstpip2",9.74776651313896e-293,0.944504472029593,0.245,0.039,2.15552360905042e-288,1.74394413028154e-272,0.890891254385954,0.247,0.034,3.85638365529157e-268,1.74394413028154e-272,1.94955330262776e-292
"Sgpl1",2.07633793627272e-292,0.823999179801994,0.974,0.697,4.59140607847987e-288,1.78607848075844e-183,0.823943545613968,0.95,0.679,3.94955534450114e-179,1.78607848075844e-183,4.15267587254522e-292
"Bnc2",3.10945478459024e-292,-1.10798662324072,0.992,0.948,6.8759373651644e-288,1.90002075149627e-170,-0.90682172920177,0.995,0.951,4.2015158877837e-166,1.90002075149627e-170,6.21890956918042e-292
"Atpif1",8.90530485431955e-292,-0.512649682937025,1,1,1.96923006243568e-287,4.51522026923971e-243,-0.511561219845703,1,1,9.98450658136977e-239,4.51522026923971e-243,1.78106097086372e-291
"Ly6c2",1.1852828325955e-291,1.16386974613804,0.235,0.034,2.62101592771843e-287,2.81113837312858e-181,1.06306888376554,0.241,0.048,6.21627028449922e-177,2.81113837312858e-181,2.37056566519079e-291
"Ptma",9.18139368999929e-277,-0.627791960133413,1,1,2.03028158666954e-272,2.0737810213487e-291,-0.722458313873204,1,1,4.58575197250837e-287,9.18139368999929e-277,4.14756204269704e-291
"Itpkb",4.2991845321316e-291,0.884826150635792,0.942,0.63,9.50678675590261e-287,1.18016877806116e-181,0.998039718307846,0.874,0.608,2.60970721892665e-177,1.18016877806116e-181,8.59836906426292e-291
"Nme2",1.25547392380249e-290,-0.558587081189891,1,1,2.77622948770444e-286,3.53813859470372e-284,-0.57544753795111,1,1,7.82388587446834e-280,3.53813859470372e-284,2.51094784760493e-290
"Cdc42ep5",2.59335129376713e-290,-0.640564011320016,0.975,0.912,5.73467771590726e-286,2.19519609078207e-121,-0.515138154505458,0.983,0.913,4.8542371155464e-117,2.19519609078207e-121,5.18670258753391e-290
"Nrros",3.194210362129e-290,1.09431941893652,0.435,0.154,7.06335737377585e-286,6.09428739086496e-276,1.21367591217643,0.457,0.139,1.34762977074197e-271,6.09428739086496e-276,6.38842072425786e-290
"Rhoj",5.11688484256732e-290,-0.706532943059999,0.973,0.894,1.13149674523691e-285,2.5930958751211e-139,-0.565717226844194,0.97,0.869,5.73411290865529e-135,2.5930958751211e-139,1.02337696851335e-289
"Pin1",7.82386536201545e-290,-0.554634942649948,0.997,0.988,1.73009134750248e-285,6.82045047624907e-187,-0.499624938472357,0.996,0.991,1.50820621381296e-182,6.82045047624907e-187,1.564773072403e-289
"Cdc37",1.52186130153547e-288,-0.448939597669919,1,0.998,3.36529189608539e-284,9.29900867876193e-175,-0.418387761493074,0.998,0.999,2.05628978913463e-170,9.29900867876193e-175,3.04372260307094e-288
"Ube2s",1.96306220366611e-288,-0.818643323854304,1,0.999,4.34091945096686e-284,2.79678902508653e-203,-0.775205586745627,1,0.999,6.18453957117385e-199,2.79678902508653e-203,3.9261244073319e-288
"Plbd1",2.17520644714011e-288,0.734823750950555,0.332,0.074,4.81003401656092e-284,3.17149993880286e-288,0.733327101454581,0.288,0.042,7.01313781467476e-284,3.17149993880286e-288,4.35041289427978e-288
"Tpd52l1",2.58776057252858e-288,-0.570319092337361,0.972,0.904,5.72231495403245e-284,8.6255399824669e-154,-0.49604010997055,0.984,0.928,1.90736565632291e-149,8.6255399824669e-154,5.17552114505664e-288
"Uqcrc2",1.5568368948978e-286,-0.496100142725685,0.997,0.986,3.44263342568751e-282,1.408496497534e-140,-0.398485430486793,0.994,0.982,3.11460830499693e-136,1.408496497534e-140,3.1136737897955e-286
"Fam20c",5.09637722490895e-286,1.15350220585337,0.356,0.106,1.12696189574412e-281,2.98088696623175e-159,1.11015225812007,0.356,0.13,6.59163534842826e-155,2.98088696623175e-159,1.01927544498176e-285
"Nfkb1",1.42149123321863e-285,0.970021442244686,0.978,0.695,3.14334356401636e-281,4.21533416629481e-233,1.0817618420316,0.967,0.641,9.32136844192772e-229,4.21533416629481e-233,2.84298246643712e-285
"S100a1",5.8384467862214e-285,-0.847915305762756,1,0.993,1.29105573783714e-280,9.00754719311323e-188,-0.746745774205569,0.999,0.996,1.99183891081313e-183,9.00754719311323e-188,1.16768935724425e-284
"Fam174b",9.56058747455976e-285,-0.601728481373673,0.976,0.906,2.1141327082494e-280,1.63124875039267e-152,-0.516280819331185,0.984,0.919,3.6071803617433e-148,1.63124875039267e-152,1.91211749491187e-284
"B9d1",4.70183426347676e-284,-0.562265922699597,0.121,0.516,1.03971661068262e-279,2.43001690888473e-80,-0.356043002442728,0.366,0.6,5.37349639061681e-76,2.43001690888473e-80,9.40366852695344e-284
"Mndal",6.01564030645277e-284,1.29889560773698,0.497,0.209,1.3302385409659e-279,4.25511116084233e-26,0.644871145478982,0.319,0.247,9.40932730997063e-22,4.25511116084233e-26,1.20312806129042e-283
"Mtch1",8.55475721654795e-284,-0.551194018255049,0.998,0.992,1.89171346329525e-279,2.56177983648271e-230,-0.547574168387556,1,0.998,5.66486375241421e-226,2.56177983648271e-230,1.71095144330944e-283
"mt-Cytb",1.6877395548584e-283,-0.614344159614041,1,1,3.73209847765838e-279,5.31462927285055e-232,-0.557702365518457,1,1,1.17522397110544e-227,5.31462927285055e-232,3.3754791097166e-283
"Eef1g",1.69353342370568e-283,-0.525872908538521,1,1,3.74491045984038e-279,3.0061655408495e-201,-0.496459930073813,1,1,6.64753386048049e-197,3.0061655408495e-201,3.38706684741108e-283
"Smyd2",2.44087873557948e-283,-0.519004609042673,0.987,0.954,5.3975151479869e-279,5.87274036974126e-146,-0.462390399368275,0.991,0.956,1.29863907796089e-141,5.87274036974126e-146,4.88175747115873e-283
"Sox6",8.92094682531508e-283,-0.855237873864856,0.993,0.943,1.97268897148192e-278,2.22132254339445e-154,-0.736613346196715,0.995,0.956,4.91201054020814e-150,2.22132254339445e-154,1.78418936506284e-282
"Insc",1.72495810858708e-282,-0.58667724022052,0.983,0.936,3.81439986551862e-278,1.07614824791535e-145,-0.489064042329021,0.991,0.946,2.37968662061522e-141,1.07614824791535e-145,3.44991621717386e-282
"Blnk",7.6262576781689e-235,0.629626140688043,0.179,0.023,1.68639436037349e-230,2.98259259685546e-282,0.634038777089397,0.162,0.01,6.59540700942647e-278,7.6262576781689e-235,5.96518519371081e-282
"Spag9",4.81403711894293e-282,0.807427836389247,0.999,0.952,1.06452802811185e-277,2.50569313359527e-109,0.692938590104557,0.997,0.942,5.54083922631921e-105,2.50569313359527e-109,9.62807423788499e-282
"Gyg",1.60405814146441e-280,-0.718492311537848,0.998,0.986,3.54705376822026e-276,9.56251408403816e-181,-0.624000552699897,1,0.992,2.11455873940336e-176,9.56251408403816e-181,3.20811628292851e-280
"Anxa3",4.68450580175001e-280,0.756434605442983,0.33,0.077,1.03588476794098e-275,1.17750833763657e-168,0.539059556086065,0.199,0.035,2.60382418701575e-164,1.17750833763657e-168,9.36901160349994e-280
"Csf2rb2",5.08328198176114e-215,0.530882391567747,0.169,0.023,1.12406614462684e-210,1.07707197859918e-279,0.48216087710777,0.146,0.007,2.38172926627636e-275,5.08328198176114e-215,2.15414395719822e-279
"AY036118",1.30759919589627e-279,0.863331733054428,0.991,0.893,2.89149410188541e-275,2.28162852173632e-207,1.12810677858237,0.982,0.836,5.04536515011551e-203,2.28162852173632e-207,2.61519839179226e-279
"Wwtr1",1.45519470081182e-279,-0.687563847294533,0.982,0.928,3.21787204190518e-275,2.99105801904899e-154,-0.572802372492299,0.973,0.898,6.61412659752304e-150,2.99105801904899e-154,2.91038940162346e-279
"Tiparp",1.96695403348373e-279,0.985943690227478,0.998,0.903,4.34952545424256e-275,3.99165169352987e-56,0.57682835234656,0.996,0.874,8.8267393899026e-52,3.99165169352987e-56,3.93390806696728e-279
"S100a11",2.02777596455736e-279,0.609005732616763,0.998,0.961,4.48402099042569e-275,1.41883361076336e-86,0.345671623247902,0.999,0.953,3.13746676348101e-82,1.41883361076336e-86,4.05555192911469e-279
"Sdc2",2.36438038656254e-279,-0.628940533778817,0.122,0.51,5.22835434880575e-275,7.64383332391525e-142,-0.501793946468933,0.215,0.564,1.69028086291738e-137,7.64383332391525e-142,4.7287607731248e-279
"Chchd3",3.00158640785228e-279,-0.508857025030127,0.999,0.997,6.63740802368375e-275,9.01665514426156e-160,-0.440688575584772,0.999,0.997,1.99385295205056e-155,9.01665514426156e-160,6.00317281570404e-279
"Cct6a",4.97493681982232e-279,-0.551561430251605,1,0.996,1.10010777896731e-274,9.65358832959598e-175,-0.509806243583048,1,0.995,2.13469798732356e-170,9.65358832959598e-175,9.94987363964426e-279
"Rps8",2.10790847101482e-278,-0.467738899510199,1,1,4.66121800195506e-274,4.58950364626336e-221,-0.418269627974723,1,1,1.01487694129822e-216,4.58950364626336e-221,4.21581694202922e-278
"Morrbid",8.98227688013755e-278,0.781012287079607,0.926,0.581,1.98625088650482e-273,2.72084091695575e-95,0.556985909353529,0.87,0.597,6.01659551966425e-91,2.72084091695575e-95,1.79645537602745e-277
"Uqcrfs1",2.09803670154951e-277,-0.480832268638302,0.998,0.992,4.63938855813643e-273,1.10576077418738e-136,-0.394241147374151,0.999,0.99,2.44516879996055e-132,1.10576077418738e-136,4.19607340309902e-277
"Ptov1",2.44849953547486e-277,-0.489052790588638,0.993,0.98,5.41436702279555e-273,1.02723933777839e-180,-0.4552912559824,0.999,0.984,2.27153434762936e-176,1.02723933777839e-180,4.89699907094923e-277
"Plod2",7.10783589324095e-277,-0.712323794056857,0.987,0.95,1.57175575107237e-272,1.42634997160338e-118,-0.530670244502958,0.987,0.927,3.15408769220655e-114,1.42634997160338e-118,1.42156717864812e-276
"Ptpre",1.8911029217514e-276,1.07142416245262,0.428,0.152,4.18179589086886e-272,2.59790509247749e-129,0.831593327826742,0.384,0.161,5.74474753099547e-125,2.59790509247749e-129,3.78220584350241e-276
"Sh3bgrl",1.92354978725608e-276,0.949506484456076,0.989,0.771,4.25354564455937e-272,5.46969249479106e-162,0.900553677669772,0.977,0.744,1.20951310137315e-157,5.46969249479106e-162,3.84709957451198e-276
"Pcbp4",7.19570839225947e-276,-0.576566081436223,0.985,0.945,1.59118699678034e-271,6.45434775697438e-152,-0.496016295587525,0.989,0.958,1.42724991949974e-147,6.45434775697438e-152,1.4391416784518e-275
"Mef2a",1.09819254741963e-275,0.930496593003352,0.99,0.788,2.42843318010902e-271,3.6975295841937e-141,0.790902858502118,0.97,0.741,8.17634716952752e-137,3.6975295841937e-141,2.1963850948391e-275
"Dmxl1",1.518590044135e-275,1.18053441455936,0.979,0.715,3.35805816459572e-271,5.47929077750908e-122,0.904213047917375,0.909,0.666,1.21163556963058e-117,5.47929077750908e-122,3.0371800882698e-275
"Man2a1",2.86275004809016e-275,1.00676314885705,0.984,0.752,6.33039918134176e-271,9.57342740811389e-108,0.739287474677381,0.976,0.759,2.11697200275622e-103,9.57342740811389e-108,5.72550009617978e-275
"Tulp3",4.91147428763779e-275,-0.586729605646113,0.982,0.934,1.08607430922534e-270,1.01879023145222e-109,-0.438414614879217,0.987,0.932,2.25285083881028e-105,1.01879023145222e-109,9.82294857527465e-275
"Ctsz",9.34639248857251e-184,0.5878452758674,1,1,2.06676777099804e-179,1.53254365617644e-274,0.812918431618701,1,1,3.38891378690296e-270,9.34639248857251e-184,3.06508731235279e-274
"Pard3",1.70287660887279e-274,-0.660340864648764,0.977,0.907,3.7655710452004e-270,1.31349410827705e-132,-0.542390271807963,0.981,0.894,2.90452952163303e-128,1.31349410827705e-132,3.40575321774547e-274
"Ntmt1",3.71739884276979e-274,-0.55071559340101,0.993,0.969,8.22028406101684e-270,2.26700277256504e-198,-0.508235091757484,0.996,0.975,5.01302323097307e-194,2.26700277256504e-198,7.43479768553899e-274
"Aff3",7.62992876744278e-274,-0.962498051925951,0.993,0.946,1.68720614834462e-269,4.01590877432435e-164,-0.793889919114435,0.993,0.961,8.88037907266343e-160,4.01590877432435e-164,1.52598575348854e-273
"Klhdc2",9.84125030405886e-274,-0.509681702556994,0.99,0.965,2.17619567973654e-269,2.60244276135733e-143,-0.434792267025292,0.987,0.956,5.75478167818946e-139,2.60244276135733e-143,1.96825006081175e-273
"Dgkz",3.11485005796852e-273,0.764348972392872,0.943,0.65,6.88786793318578e-269,1.00385157140214e-167,0.753309186786858,0.945,0.684,2.21981697984155e-163,1.00385157140214e-167,6.22970011593656e-273
"Airn",3.83731491241554e-90,0.458186922372008,0.794,0.556,8.48545446582449e-86,4.9925262927198e-273,1.21374992966987,0.927,0.565,1.10399733910913e-268,3.83731491241554e-90,9.98505258543906e-273
"Vdac2",5.48421779734027e-273,-0.465661842588009,1,0.999,1.21272508152585e-268,4.22157780881563e-151,-0.384525460640255,1,0.999,9.33517500863399e-147,4.22157780881563e-151,1.09684355946797e-272
"Tmsb10",3.10444687702549e-120,-0.360353604106584,1,1,6.86486337916647e-116,5.80984429779132e-273,-0.689852664439805,1,1,1.28473086957059e-268,3.10444687702549e-120,1.16196885955817e-272
"Samm50",8.68946732766999e-273,-0.491805529368106,0.995,0.983,1.92150191016766e-268,5.85537828897334e-134,-0.397329179568901,0.995,0.984,1.29479980104067e-129,5.85537828897334e-134,1.73789346553383e-272
"Eif3h",2.05893404539299e-272,-0.419152559820761,1,1,4.55292085457753e-268,4.50291867997928e-150,-0.348812112276244,1,1,9.95730407703819e-146,4.50291867997928e-150,4.11786809078554e-272
"Atp5l",7.14027184810205e-272,-0.444704926414762,1,1,1.57892831377081e-267,2.89580227782906e-132,-0.303088662617984,1,1,6.4034875769634e-128,2.89580227782906e-132,1.4280543696203e-271
"Rapgef4",7.44265511043747e-272,-0.640629150475538,0.999,0.986,1.64579432457104e-267,1.26355210326455e-227,-0.670346332237126,0.998,0.994,2.7940927659489e-223,1.26355210326455e-227,1.48853102208746e-271
"Cfap36",1.09325412901269e-271,-0.511296339540579,0.973,0.92,2.41751285548577e-267,1.16083446921335e-135,-0.4193086829836,0.982,0.921,2.56695326177149e-131,1.16083446921335e-135,2.1865082580253e-271
"Mrps35",2.13506415752263e-271,-0.502807247755177,0.981,0.934,4.7212673715298e-267,2.80683568145675e-124,-0.400487558977982,0.989,0.924,6.20675574240531e-120,2.80683568145675e-124,4.27012831504507e-271
"Scn8a",4.19542874349971e-271,-0.608848685159997,0.978,0.918,9.2773515805009e-267,1.15592518437869e-142,-0.552469284534766,0.989,0.945,2.5560973602166e-138,1.15592518437869e-142,8.39085748699914e-271
"Pdcd5",1.2528132460851e-270,-0.456723056099454,1,1,2.77034593106797e-266,5.56553686679387e-131,-0.345561798619941,1,1,1.23070716735413e-126,5.56553686679387e-131,2.50562649217e-270
"Tlr13",3.02866384942179e-190,0.540073818921951,0.222,0.048,6.6972843702264e-186,2.06170648563778e-270,0.659921539751403,0.23,0.027,4.55905155169083e-266,3.02866384942179e-190,4.12341297127546e-270
"Mrpl34",4.7828617280925e-270,-0.489819722213385,0.996,0.988,1.05763421393309e-265,3.72804596027533e-134,-0.386895775016161,0.998,0.991,8.24382803195683e-130,3.72804596027533e-134,9.5657234561844e-270
"Sirpb1c",4.93274850477046e-270,0.644084510686029,0.178,0.018,1.09077867685989e-265,2.83723862199734e-180,0.466439896150542,0.143,0.015,6.27398576482271e-176,2.83723862199734e-180,9.8654970095405e-270
"Cnn3",6.94645833117378e-270,-0.53507885980373,0.984,0.955,1.53607033077246e-265,1.12337563313613e-151,-0.502935961016789,0.987,0.951,2.48412053755392e-147,1.12337563313613e-151,1.38929166623464e-269
"Cytip",1.36963080838621e-269,0.884932050041143,0.345,0.086,3.02866460658443e-265,5.87836176400447e-95,0.551431144904779,0.177,0.045,1.29988213687431e-90,5.87836176400447e-95,2.73926161677223e-269
"Nfib",2.15704414660864e-269,-0.73686043724366,0.988,0.947,4.76987172139569e-265,6.26569659488342e-172,-0.650448005217884,0.984,0.949,1.38553348802657e-167,6.26569659488342e-172,4.31408829321692e-269
"Cers6",4.40480075926595e-269,1.04482920906915,0.993,0.847,9.7403359189648e-265,1.36017429027079e-107,0.890274652046379,0.988,0.827,3.0077534080758e-103,1.36017429027079e-107,8.80960151853125e-269
