SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA-06-2559-01A,0,0.013446137,0,0.02031113,0,0.093040233,0,0.020343724,0.017430914,0,0.023636112,0.013741445,0.004113656,0.31353557,0.020885347,0.419431581,0,0,0,0.020023256,0,0.020060895,SNV
TCGA-06-0743-01A,0.038835951,0,0.001093065,0.100133906,0,0.038226537,0,0.041085268,0.009744506,0,0.020978468,0,0.119558227,0.207733156,0.057231144,0.34997715,0,0,0.005846365,0,0,0.009556256,SNV
TCGA-16-0846-01A,0.005011885,0,0.000433084,0.118183271,0,0.071574421,0.002182128,0.014089168,0.00743906,0,0.008702062,0.015959542,0.113878259,0,0.157043319,0.391477226,0.003297358,0,0,0.070829971,0.016892387,0.003006859,SNV
TCGA-06-0749-01A,0,0.056576312,0,0.046751686,0,0.127580825,0,0.031189415,0,0,0,0.087947616,0.107737038,0.178984582,0.001834187,0.281963766,0,0,0,0.036938017,0.030246043,0.012250513,SNV
TCGA-19-4065-01A,0,0.084884724,0,0,0,0.067749158,0,0.015256916,0,0,0,0.021796105,0.203219026,0,0.005774443,0.556625094,0.005096003,0,0,0.02113889,0.004799579,0.013660061,SNV
TCGA-32-4213-01A,0.002073695,0,0.000413715,0.009365576,0,0.14065953,0,0.021398764,0.015587498,0.003254822,0.008254205,0,0.068361487,0.100730497,0.117142488,0.452645564,0,0,0.040650984,0,0,0.019461176,SNV
TCGA-28-2510-01A,0.004301825,0,0,0.043489334,0,0.176046629,0,0.018689378,0.015828471,0,0.084888076,0.019760776,0.170222936,0.188111888,0.012329053,0.19778552,0,0,0,0.001902923,0,0.066643192,SNV
TCGA-14-1034-01A,0.023033409,0,0.000301683,0.016458257,0,0.088943125,0,0.002366137,0,0,0.015315991,0,0.436612422,0.029882086,0.028233455,0.317449902,0,0,0.019195419,0,0,0.022208114,SNV
TCGA-19-1787-01B,0.004662685,0.005686875,0,0.004716491,0,0.113888496,0,0.0092658,0,0,0.036156218,0,0.10684992,0.223254038,0.084317935,0.367350846,0,0,0.035551778,0,0.005155096,0.003143823,SNV
TCGA-27-1834-01A,0,0.026281489,0,0.043725818,0,0.095607385,0,0.024423137,0.011184967,0,0.011094979,0,0.300499877,0,0.056215066,0.37818755,0,0.00508481,0.022698351,0,0.009027492,0.015969078,SNV
TCGA-06-2558-01A,0,0.007964112,0.000871114,0.016302191,0,0.053024621,0,0.015824599,0.006233517,0,0.055304347,0,0.15398802,0.164812363,0.011297789,0.401288575,0.004388747,0,0,0.054632224,0.000130487,0.053937292,SNV
TCGA-28-2513-01A,0.00926845,0.005701373,0,0,0,0.154661176,0,0,0.009348639,0.008971527,0,0.024516216,0.110677959,0.02215547,0.112123946,0.447613453,0,0.017525724,0.06508727,0,0.000298021,0.012050775,SNV
TCGA-32-5222-01A,0,0,0,0,0,0.095173578,0,0.006241569,0,0,0,0.039041937,0.254927874,0,0.03183278,0.472805074,0,0,0,0,0.068133135,0.031844054,SNV
TCGA-06-0882-01A,0.001130684,0,0.000483511,0.036417938,0,0.122741866,0,0.008523467,0.008221921,0,0.043529322,0.01085471,0.334453802,0,0.009511815,0.406036204,0,0.001037023,0.000525909,0,0.000108395,0.016423434,SNV
TCGA-41-3915-01A,0.009517416,0.003914799,0,0.053953165,0,0.062713556,0.019612826,0,0.007582706,0,0.020514312,0,0.150372058,0.059653823,0.01755389,0.457004586,0,0,0,0.040677228,0,0.096929634,SNV
TCGA-06-2565-01A,0.001529764,0,0,0.042782279,0,0.128463978,0,0.013212641,0.03704993,0,0,0.02135074,0.006710243,0.036973902,0.06431653,0.543225995,0.002978716,0,0.101405283,0,0,0,SNV
