SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA-06-2565,0.005072175,0,0,0,0,0.193787673,0,0.011769168,0.005274409,0,0,0.056381393,0.008450874,0.043108843,0.071554329,0.558773255,0,0,0.042106849,0,0.003721032,0,MUT
TCGA-28-5208,0.003432812,0.000509367,0.000499327,0,0,0.059541147,0,0.043217411,0.003810715,0.019780607,0,0.052011646,0.175364414,0.057418876,0.011508572,0.441381124,0,0,0.121423297,0,0,0.010100686,no alteration
TCGA-27-1834,0,0.005337125,0,0.031777719,0,0.12223507,0,0.021000208,0,0,0,0.027281017,0.281719771,0,0.114913373,0.265902555,0,0.001187008,0.064609742,0,0.064036414,0,MUT
TCGA-14-0817,0.001405653,0.000815502,0,0,0,0.058628344,0,0.010938514,0.00125572,0.035909361,0,0.024526305,0.189537431,0.059736748,0.029686817,0.485128776,0,0,0,0.089281805,0.005409441,0.007739582,no alteration
TCGA-02-2486,0.033117745,0,0.001596148,0.084748534,0,0.1289431,0.013198333,0,0.003905374,0,0.00343289,0,0.320519516,0.025927893,0.061811252,0.234436967,0,0.014380352,0.021243829,0,0.010700226,0.042037839,no alteration
TCGA-19-0957,0.001626797,0.001183156,0,0.077820942,0,0.10344907,0.012739727,0,0.006324959,0,0.059488516,0.008833874,0.135905731,0,0.001503961,0.544519429,0,0,0.037077072,0,0.001421662,0.008105103,MUT
TCGA-06-5859,0.033939582,0,0.001061059,0.022258801,0,0.154822024,0,0.000991711,0,0.020485982,0,0.0107858,0.191394877,0,0.032025572,0.515064562,0,0,0,0.01392117,0,0.003248859,no alteration
TCGA-76-4925,0.006686732,0,0,0.052490137,0,0.018272933,0,0.002606636,0,0,0.029386574,0,0.107962903,0.362636278,0.030663669,0.343715697,0,0,0,0,0.022087832,0.023490608,MUT
TCGA-14-2554,0.003262999,0.000116963,0.000108469,0,0,0.27883941,0.00515592,0.00059338,0,0,0.081750323,0.006139434,0.188030468,0,0.00793726,0.385845831,0,0.003598377,0,0.011650374,0.017040151,0.009930642,no alteration
TCGA-06-2558,0.004172694,0.001082024,0,0.017340804,0,0.072908076,0,0.003823157,0,0,0.01999707,0.007178166,0.122144707,0.198285166,0.011617567,0.43900855,0,0,0.025531851,0,0.042614605,0.034295564,MUT
TCGA-06-0211,0.024028242,0,0,0,0,0.069138086,0,0.007095673,0,0,0.040133738,0,0.028685625,0.2842506,0.022584018,0.489979814,0,0,0.024119202,0,0,0.009985001,no alteration
TCGA-32-4213,0.003735423,0,0,0.01530684,0,0.135477977,0.001703347,0.014992274,0.004285925,0,0.003123381,0,0.117638034,0.10990894,0.099085596,0.43395768,0,0,0.045796365,0,0,0.014988219,MUT
TCGA-14-1034,0.014642143,0,0,0.029058183,0,0.11083755,0,0.000969323,0,0,0.004742202,0.003931028,0.372913921,0.051408841,0.027589942,0.34164449,0,0,0.015224439,0,0.002042544,0.024995395,MUT
TCGA-27-2526,0,0.020042174,0,0.225125877,0,0.035488706,0,0.021870682,0,0,0,0.081091582,0.047992749,0,0.102526727,0.317756213,0.011003657,0,0.12258323,0,0.011278206,0.003240197,MUT
TCGA-28-1753,0,0.000976553,0,0.004484916,0,0.013416717,0,0.011503766,0,0.006841258,0,0.010734569,0,0.505725612,0.017841016,0.425330174,0,0,0.001121621,0.002023799,0,0,MUT
TCGA-06-0130,0.010480006,0,0.001044048,0.011697455,0,0.171254897,0,0,0.002513388,0.042954623,0,0.028776315,0.166640895,0.002006372,0.113354343,0.416367801,0.009758944,0,0.018311944,0,0.00043227,0.004406698,MUT
TCGA-32-1982,0.019872951,0,0.001965368,0.036618595,0,0.145295577,0,0.023480289,0,0.023377167,0,0.079242275,0.147231708,0,0.036025906,0.352104786,0,0,0,0.069601303,0.044081487,0.02110259,MUT
TCGA-32-2632,0,0.029977486,0,0.024001405,0,0.13679488,0,0,0.0134117,0.023888267,0,0.06408375,0.149290968,0,0.050395644,0.402775224,0.000114688,0,0.096035383,0,0.003183273,0.006047331,MUT
