SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.27.1830.01A.01R.1850.01,0.015609922,0,0.001577243,0.026870163,0,0.005494522,0,0.023238351,0.000321749,0.011371236,0,0.02895276,0.014886676,0.325055434,0.022588688,0.278964761,0,0,0,0.170222178,0.040396148,0.03445017,no alteration
TCGA.06.5858.01A.01R.1849.01,0,0.001878201,0,0,0,0.067203686,0,0.012731653,0.005543579,0.016355159,0,0.013187582,0.123736031,0.271823849,0.028449562,0.381101615,0,0,0,0.047468278,0.005325702,0.025195101,MUT
TCGA.76.4929.01A.01R.1850.01,0,0.032859152,0,0.042431547,0,0.026040463,0,0.006815103,0.024689853,0,0,0.016542359,0.043015608,0.241074603,0.004145465,0.41203654,0,0,0.120459025,0,0.016292859,0.013597423,no alteration
TCGA.12.3650.01A.01R.1849.01,0,0.001841211,0,0,0,0.110230515,0,0.009346989,0,0,0.015229644,0.015998106,0.062008878,0.08909819,0.005573542,0.575326134,0,0,0.105858164,0,0,0.009488627,HOMDEL 
TCGA.06.0129.01A.01R.1849.01,0.038467672,0,0.0028291,0.001932924,0,0.048350512,0,0.019056431,0,0,0,0.030826887,0.182326815,0,0.032300047,0.572388165,0,0,0,0.042490514,0.029030932,0,no alteration
TCGA.06.0649.01B.01R.1849.01,0.035174893,0,0.022184644,0.0308501,0,0.051259173,0,0.018598908,0,0.014419702,0,0.019855988,0.267870021,0,0.008929319,0.512695877,0,0,0,0.015967443,0,0.002193932,no alteration
TCGA.06.5413.01A.01R.1849.01,0.023655755,0,0,0.043441381,0,0.112095987,0.003936585,0,0,0,0.011185894,0,0.082031064,0,0.010042843,0.623503,0,0.000697987,0.042334611,0,0.004844101,0.042230793,no alteration
TCGA.26.5132.01A.01R.1850.01,0.00076819,0.022359939,0,0,0,0.08114441,0.039741645,0.017545565,0.00586706,0,0.031552796,0.007525382,0.009009647,0.242450478,0.009614743,0.425877427,0,0,0.084797684,0,0.01212655,0.009618486,MUT
TCGA.02.0047.01A.01R.1849.01,0.000816584,0.003764175,0.000976056,0,0,0.162241243,0.005635987,0.018108045,0.019034098,0,0.05136131,0.000723416,0.026604383,0.297859425,0.010882327,0.389888731,0,0,0.001392027,0,0,0.010712193,no alteration
TCGA.28.5207.01A.01R.1850.01,0.000603443,0.001028879,0.000644182,0,0,0.238306095,0,0.024353226,0,0,0,0.098265926,0.071201961,0,0.061410071,0.305643054,0.003475652,0,0,0.066516922,0.110253353,0.018297236,no alteration
TCGA.12.0616.01A.01R.1849.01,0.032416283,0,0.002745387,0.182704096,0,0.110321994,0.001353182,0.02107145,0,0,0,0,0.170904933,0,0.07453632,0.343885295,0,0,0.030851523,0,0.022805938,0.006403601,no alteration
TCGA.06.0190.01A.01R.1849.01,0.003504009,0,0.00413132,0,0,0.033896602,0,0.036216623,0.008868142,0.063506799,0,0.020746356,0,0.372472607,0.00886623,0.307141172,0,0,0,0.103135048,0.000949828,0.036565263,MUT
TCGA.26.5135.01A.01R.1850.01,0.042773063,0,0,0.033942529,0,0.069719823,0,0.007759205,0.068599284,0,0.066643572,0,0.016919194,0.413990326,0.014941976,0.200260815,0,0,0,0.037293883,0.023177212,0.003979119,no alteration
TCGA.28.5220.01A.01R.1850.01,0.002021542,0,0,0.01876525,0,0.096932705,0,0,0.00249412,0,0,0.007330921,0.251895982,0,0.045941937,0.447479456,0,0,0.114284078,0,0,0.012854009,no alteration
TCGA.06.0125.01A.01R.1849.01,0,0,0,0.03455505,0,0.010380146,0,0.041126961,0,0,0.046480946,0,0.078348667,0.350561207,0.043367053,0.337411016,0,0,0.017293931,0,0.016979803,0.02349522,MUT
TCGA.06.0211.01A.01R.1849.01,0.000586329,0,0.002028449,0,0,0.080228406,0.002286054,0,0.013732428,0.011070408,0.000860823,0,0,0.456650512,0.001992491,0.377934171,0,0,0.022822083,0,0,0.029807846,no alteration
TCGA.06.2557.01A.01R.1849.01,0.040501905,0,0.001215372,0.03510405,0,0.083228166,0,0.023778473,0,0.031321632,0,0.054377007,0.198206732,0,0.071360763,0.43227163,0,0,0,0.023561779,0.002955136,0.002117355,no alteration
TCGA.06.0141.01A.01R.1849.01,0.004830959,0,0,0.015485622,0,0.069114389,0,0,0,0,0.035387535,0,0.19487876,0.086950022,0.007999467,0.535085821,0,0,0.01831191,0,0,0.031955516,no alteration
TCGA.06.5410.01A.01R.1849.01,0.010135873,0.00087396,0.000974335,0.021611264,0,0.034793802,0.027861344,0,0.021294232,0,0.060094712,0,0.180470486,0,0.008315182,0.572650429,0.004108993,0,0,0.009326778,0.014918775,0.032569834,no alteration
TCGA.06.0158.01A.01R.1849.01,0,0.033485279,0,0,0,0.130334071,0,0.01796262,0.026411144,0,0.035782017,0.008505674,0.027784047,0.363102985,0.009381261,0.315919011,0,0,0.006408342,0,0.003791493,0.021132057,no alteration
TCGA.41.5651.01A.01R.1850.01,0.011629541,0,0.003071682,0,0,0.127729041,0,0.027553524,0,0,0.063842679,0,0.004077579,0.428005334,0.012195106,0.314547333,0,0,0.007348181,0,0,0,no alteration
